X,L4440_1,L4440_2,L4440_3,Y37A1B_5_1,Y37A1B_5_2,Y37A1B_5_3
WBGene00167420,0,0,0,0,0,0
WBGene00167421,0,0,0,0,0,0
WBGene00167422,0,0,0,0,0,0
WBGene00167423,0,0,0,0,0,0
WBGene00167424,0,0,0,0,0,0
WBGene00167425,0,0,0,0,0,0
WBGene00167426,0,0,0,0,0,0
WBGene00167427,0,0,0,0,0,0
WBGene00167428,0,0,0,0,0,0
WBGene00167429,0,0,0,0,0,0
WBGene00167430,0,0,0,0,0,0
WBGene00167431,0,0,0,0,0,0
WBGene00167432,0,0,0,0,0,0
WBGene00167433,0,0,0,0,0,0
WBGene00167434,0,0,0,0,0,0
WBGene00167435,0,0,0,0,0,0
WBGene00167436,0,0,0,0,0,0
WBGene00167437,0,0,0,0,0,0
WBGene00167438,0,0,0,0,0,0
WBGene00167439,0,0,0,0,0,0
WBGene00167440,0,0,1,0,0,0
WBGene00167441,0,0,0,0,0,0
WBGene00167442,0,0,0,0,0,0
WBGene00167443,0,0,0,0,0,0
WBGene00167444,0,0,0,0,0,0
WBGene00167445,0,0,0,0,0,0
WBGene00167446,0,0,0,0,0,0
WBGene00167447,0,0,0,0,0,0
WBGene00167448,0,0,0,0,0,0
WBGene00167449,0,0,0,1,0,1
WBGene00167450,0,0,0,0,0,0
WBGene00167451,0,0,0,0,0,0
WBGene00167452,0,0,0,0,0,0
WBGene00167453,0,0,0,0,0,0
WBGene00167454,0,0,0,0,0,0
WBGene00167455,0,0,0,0,0,0
WBGene00167456,0,0,0,0,0,0
WBGene00167457,0,0,0,0,0,0
WBGene00167458,0,0,0,0,0,0
WBGene00167459,0,0,0,0,0,0
WBGene00167460,0,0,0,0,0,0
WBGene00167461,0,0,0,0,0,0
WBGene00167462,0,0,0,0,0,0
WBGene00167463,0,0,0,0,0,0
WBGene00167464,0,0,0,0,0,0
WBGene00167465,0,0,0,0,0,0
WBGene00167466,0,0,0,0,0,0
WBGene00167467,0,0,0,0,0,0
WBGene00167468,0,0,0,0,0,0
WBGene00167469,0,0,0,0,1,0
WBGene00167470,0,0,0,0,0,0
WBGene00167471,0,0,0,0,0,0
WBGene00167472,0,0,0,0,0,0
WBGene00167473,0,0,0,0,0,0
WBGene00167474,0,0,0,0,0,0
WBGene00167475,0,0,0,0,0,0
WBGene00167476,0,0,0,0,0,0
WBGene00167477,0,0,0,0,0,0
WBGene00167478,0,0,0,0,0,0
WBGene00167479,0,0,0,0,0,0
WBGene00167480,0,0,0,0,0,0
WBGene00167481,0,0,0,0,0,0
WBGene00167482,0,0,0,0,0,0
WBGene00167483,0,0,0,0,0,0
WBGene00167484,0,0,0,0,0,0
WBGene00167485,0,0,0,0,0,0
WBGene00167487,0,0,0,0,0,0
WBGene00167488,0,0,0,0,0,0
WBGene00167489,0,0,0,0,0,0
WBGene00167490,0,0,0,0,0,0
WBGene00167491,0,0,0,0,0,0
WBGene00167492,0,0,0,0,0,0
WBGene00167493,0,0,0,0,0,0
WBGene00167494,0,0,0,0,0,0
WBGene00167495,0,0,0,0,0,0
WBGene00167496,0,0,0,0,0,0
WBGene00167497,0,0,0,0,0,0
WBGene00167498,0,0,0,0,0,0
WBGene00167499,0,0,0,0,0,0
WBGene00167500,0,0,0,0,0,0
WBGene00167501,0,0,0,0,0,0
WBGene00167502,0,0,0,0,0,0
WBGene00167503,0,0,0,0,0,0
WBGene00167504,0,0,0,0,0,0
WBGene00167505,0,0,0,0,0,0
WBGene00167506,0,0,0,0,0,0
WBGene00167507,0,0,0,0,0,0
WBGene00167508,0,0,0,0,0,0
WBGene00167509,0,0,0,0,0,0
WBGene00167510,0,0,0,0,0,0
WBGene00167511,0,0,0,0,0,0
WBGene00167512,0,0,0,0,0,0
WBGene00167513,0,0,0,0,0,0
WBGene00167514,0,0,0,0,0,0
WBGene00167515,0,0,0,0,0,0
WBGene00167516,0,0,0,0,0,0
WBGene00167517,0,0,0,0,0,0
WBGene00167518,0,0,0,0,0,0
WBGene00167519,0,0,0,0,0,0
WBGene00167520,0,0,1,0,0,0
WBGene00167521,0,0,0,0,0,0
WBGene00167522,0,0,0,0,0,0
WBGene00167523,0,0,0,0,0,0
WBGene00167524,0,0,0,0,0,0
WBGene00167525,0,0,0,0,0,0
WBGene00167526,0,0,0,0,0,0
WBGene00167527,0,0,0,0,0,0
WBGene00167528,0,0,0,0,0,0
WBGene00167529,0,0,0,0,0,0
WBGene00167530,0,0,0,0,0,0
WBGene00167531,0,0,0,0,0,0
WBGene00167532,0,0,0,0,0,0
WBGene00167533,0,0,0,0,0,0
WBGene00167534,0,0,0,0,0,0
WBGene00167535,1,0,0,0,0,0
WBGene00167536,0,0,0,0,0,0
WBGene00167537,0,0,0,0,0,0
WBGene00167538,0,0,0,0,0,0
WBGene00167539,0,0,0,0,0,0
WBGene00167540,0,0,0,0,0,0
WBGene00167541,0,0,0,0,0,0
WBGene00167542,0,0,0,0,0,0
WBGene00167543,0,0,0,0,0,0
WBGene00167544,3,1,3,1,5,1
WBGene00167545,0,0,0,0,0,0
WBGene00167546,0,0,0,0,0,0
WBGene00167547,0,0,0,0,0,0
WBGene00167548,0,0,0,0,0,0
WBGene00167549,0,0,0,0,0,0
WBGene00167550,0,0,0,0,0,0
WBGene00167551,0,0,0,0,0,0
WBGene00167552,0,0,0,0,0,0
WBGene00167553,0,0,0,0,0,0
WBGene00167554,0,0,0,0,0,0
WBGene00167555,0,0,0,0,0,0
WBGene00167556,0,0,0,0,0,0
WBGene00167557,0,0,0,0,0,0
WBGene00167558,0,0,0,0,2,0
WBGene00167559,0,0,0,0,0,0
WBGene00167560,0,0,0,0,0,0
WBGene00167561,0,0,0,0,0,0
WBGene00167562,0,1,0,0,0,0
WBGene00167563,0,0,0,0,0,0
WBGene00167564,0,0,0,0,0,0
WBGene00167565,0,0,0,0,0,0
WBGene00167566,0,0,0,0,0,0
WBGene00167567,0,0,0,0,0,0
WBGene00167568,0,0,0,0,0,0
WBGene00167569,0,0,0,0,0,0
WBGene00167570,0,0,0,0,0,0
WBGene00167571,0,0,0,0,0,0
WBGene00167572,0,0,0,0,0,0
WBGene00167573,0,0,0,0,0,0
WBGene00167574,0,0,0,0,0,0
WBGene00167575,0,1,0,0,0,0
WBGene00167576,0,0,0,0,0,0
WBGene00167577,0,0,0,0,0,0
WBGene00167578,0,0,0,0,0,0
WBGene00167579,0,0,0,0,0,0
WBGene00167580,0,0,0,0,0,0
WBGene00167581,0,0,0,0,0,0
WBGene00167582,0,0,0,0,0,0
WBGene00167583,0,0,0,0,0,0
WBGene00167584,0,0,0,0,0,0
WBGene00167585,0,0,0,0,0,0
WBGene00167586,0,0,0,0,0,0
WBGene00167587,0,0,0,0,0,0
WBGene00167588,0,0,0,0,0,0
WBGene00167589,0,0,0,0,0,0
WBGene00167590,0,0,0,0,0,0
WBGene00167591,0,0,0,0,0,0
WBGene00167592,0,0,0,0,0,0
WBGene00167593,0,0,0,0,0,0
WBGene00167594,0,0,0,0,0,0
WBGene00167595,0,0,0,0,0,0
WBGene00167596,0,0,0,0,0,0
WBGene00167597,0,0,0,0,0,0
WBGene00167598,0,0,0,0,0,0
WBGene00167599,0,0,0,0,0,0
WBGene00167600,0,0,0,0,0,0
WBGene00167601,0,0,0,0,0,0
WBGene00167602,0,0,0,0,0,0
WBGene00167603,0,0,0,0,0,0
WBGene00167604,0,0,0,0,0,0
WBGene00167605,0,0,0,0,0,0
WBGene00167606,0,0,0,0,0,0
WBGene00167607,0,0,0,0,0,0
WBGene00167608,0,0,0,0,0,0
WBGene00167609,0,0,0,0,0,0
WBGene00167610,0,0,0,0,0,0
WBGene00167611,0,0,0,0,0,0
WBGene00167612,0,0,0,0,0,0
WBGene00167613,0,0,0,0,0,0
WBGene00167614,0,0,0,0,0,0
WBGene00167615,0,0,0,0,0,0
WBGene00167616,0,0,0,0,0,0
WBGene00167617,0,0,0,0,0,0
WBGene00167618,0,0,0,0,0,0
WBGene00167619,0,0,0,0,0,0
WBGene00167620,0,0,0,0,0,0
WBGene00167621,0,0,0,0,0,0
WBGene00167622,0,0,0,0,0,0
WBGene00167623,0,0,0,0,0,0
WBGene00167624,0,0,0,0,0,0
WBGene00167625,0,0,0,0,0,0
WBGene00167626,0,0,0,0,0,0
WBGene00167627,0,0,0,0,0,0
WBGene00167628,0,0,0,0,0,0
WBGene00167629,0,0,0,0,0,0
WBGene00167630,0,0,0,0,0,0
WBGene00167631,0,0,0,0,0,0
WBGene00167632,0,0,0,0,0,0
WBGene00167633,0,0,0,0,0,0
WBGene00167634,0,0,0,0,0,0
WBGene00167635,0,0,0,0,0,0
WBGene00167636,0,0,0,0,0,0
WBGene00167637,0,0,0,0,0,0
WBGene00167638,0,0,0,0,0,0
WBGene00167639,0,0,0,0,0,0
WBGene00167640,0,0,0,0,0,0
WBGene00167641,0,0,0,0,0,0
WBGene00167642,0,0,0,0,0,0
WBGene00167643,0,0,0,0,0,0
WBGene00167644,0,0,0,0,0,0
WBGene00167645,0,0,0,0,0,0
WBGene00167646,0,0,0,0,0,0
WBGene00167647,0,0,0,0,0,0
WBGene00167648,0,0,0,0,0,0
WBGene00167649,0,0,0,0,0,0
WBGene00167650,0,0,0,0,0,0
WBGene00167651,0,0,0,0,0,0
WBGene00167652,0,0,0,0,0,0
WBGene00167653,0,0,0,0,0,0
WBGene00167654,0,0,0,0,0,0
WBGene00167655,0,0,0,0,0,0
WBGene00167656,0,0,0,0,0,0
WBGene00167657,0,0,0,0,0,0
WBGene00167658,0,0,0,0,0,0
WBGene00167659,0,0,0,0,0,0
WBGene00167660,0,0,0,0,0,0
WBGene00167661,0,0,0,0,0,0
WBGene00167662,0,0,0,0,0,0
WBGene00167663,0,0,0,0,0,0
WBGene00167664,0,0,0,0,0,0
WBGene00167665,0,0,0,0,0,0
WBGene00167666,0,0,0,0,0,0
WBGene00167667,0,0,0,0,0,0
WBGene00167668,0,0,0,0,0,0
WBGene00167669,0,0,0,0,0,0
WBGene00167670,0,0,0,0,0,0
WBGene00167671,0,0,0,0,0,0
WBGene00167672,0,0,0,0,0,0
WBGene00167673,0,0,0,0,1,1
WBGene00167674,0,0,0,0,0,0
WBGene00167675,0,0,0,0,0,0
WBGene00167676,0,0,0,0,0,0
WBGene00167677,0,0,0,0,0,0
WBGene00167678,0,0,0,0,0,0
WBGene00167679,0,0,0,0,0,0
WBGene00167680,0,0,0,0,0,0
WBGene00167681,0,0,0,0,0,0
WBGene00167682,0,0,0,0,0,0
WBGene00167683,0,0,0,0,0,0
WBGene00167684,0,0,0,0,0,0
WBGene00167685,0,0,0,0,0,0
WBGene00167686,0,0,0,0,0,0
WBGene00167687,0,0,0,0,0,0
WBGene00167688,0,0,0,0,0,0
WBGene00167689,0,0,0,0,0,0
WBGene00167690,0,0,0,0,0,0
WBGene00167691,0,0,0,0,0,0
WBGene00167692,0,0,0,0,0,0
WBGene00167693,0,0,0,0,0,0
WBGene00167694,0,0,0,0,0,0
WBGene00167695,0,0,0,0,0,0
WBGene00167696,0,0,0,1,0,0
WBGene00167697,0,0,0,0,0,0
WBGene00167698,0,0,0,0,0,0
WBGene00167699,0,0,0,0,0,0
WBGene00167700,0,0,0,0,0,0
WBGene00167701,0,0,0,0,0,0
WBGene00167702,0,0,0,0,0,0
WBGene00167703,0,0,0,0,0,0
WBGene00167704,0,0,0,0,0,0
WBGene00167705,0,0,0,0,0,0
WBGene00167706,0,0,0,0,0,0
WBGene00167707,0,0,0,0,0,0
WBGene00167708,0,0,0,0,0,0
WBGene00167709,0,0,0,0,0,0
WBGene00167710,0,0,0,0,0,0
WBGene00167711,0,0,0,0,0,0
WBGene00167712,0,0,0,0,0,0
WBGene00167713,0,0,0,0,0,0
WBGene00167714,0,0,0,0,0,0
WBGene00167715,0,0,0,0,0,0
WBGene00167716,0,0,0,0,0,0
WBGene00167717,0,0,0,0,0,0
WBGene00167718,0,0,0,0,0,0
WBGene00167719,0,0,0,0,0,0
WBGene00167720,0,0,0,0,0,0
WBGene00167721,0,0,0,0,0,0
WBGene00167722,0,0,0,0,0,0
WBGene00167723,0,0,0,0,0,0
WBGene00167724,0,0,0,0,0,0
WBGene00167725,0,0,0,0,0,0
WBGene00167726,1,0,0,0,1,0
WBGene00167727,0,0,0,0,0,0
WBGene00167728,0,0,0,0,0,0
WBGene00167729,0,0,0,0,0,0
WBGene00167730,0,0,0,0,0,0
WBGene00167731,0,0,0,0,0,0
WBGene00167732,0,0,0,0,0,0
WBGene00167733,0,0,0,0,0,0
WBGene00167734,0,0,0,0,0,0
WBGene00167735,0,0,0,0,0,0
WBGene00167736,0,0,0,0,0,0
WBGene00167737,0,0,0,0,0,0
WBGene00167738,0,0,0,0,0,0
WBGene00167739,0,0,0,0,0,0
WBGene00167740,0,0,0,0,0,0
WBGene00167741,0,0,0,0,0,0
WBGene00167742,0,0,0,0,0,0
WBGene00167743,0,0,0,0,0,0
WBGene00167744,0,0,0,0,0,0
WBGene00167745,0,0,0,0,0,0
WBGene00167746,0,0,0,0,0,0
WBGene00167747,0,0,0,0,0,0
WBGene00167748,0,0,0,0,0,0
WBGene00167749,0,0,0,0,0,0
WBGene00167750,0,0,0,0,0,0
WBGene00167751,0,0,0,0,0,0
WBGene00167752,0,0,0,0,0,0
WBGene00167753,0,0,0,0,0,0
WBGene00167754,0,0,0,0,0,0
WBGene00167755,0,0,0,0,0,0
WBGene00167756,0,0,0,0,0,0
WBGene00167757,0,0,0,0,0,0
WBGene00167758,0,0,0,0,0,0
WBGene00167759,0,0,0,0,0,0
WBGene00167760,0,0,0,0,0,0
WBGene00167761,0,0,0,0,0,0
WBGene00167762,0,0,0,0,0,0
WBGene00167763,0,0,0,0,0,0
WBGene00167764,0,0,0,0,0,0
WBGene00167765,0,0,0,0,0,0
WBGene00167766,0,0,0,0,0,0
WBGene00167767,0,0,0,0,0,0
WBGene00167768,0,0,0,0,0,0
WBGene00167769,0,1,0,0,0,0
WBGene00167770,0,0,0,0,0,0
WBGene00167771,0,0,0,0,0,0
WBGene00167772,0,0,0,0,0,0
WBGene00167773,0,0,0,0,0,0
WBGene00167774,0,0,0,0,0,0
WBGene00167775,0,0,0,0,0,0
WBGene00167776,0,1,0,0,0,0
WBGene00167777,0,0,0,0,0,0
WBGene00167778,0,0,0,0,0,0
WBGene00167779,0,0,0,0,0,0
WBGene00167780,0,0,0,0,0,0
WBGene00167781,0,0,0,0,0,0
WBGene00167782,0,0,0,0,0,0
WBGene00167783,0,0,0,0,0,0
WBGene00167784,0,0,0,0,0,0
WBGene00167785,0,0,0,0,0,0
WBGene00167786,0,0,0,0,0,0
WBGene00167787,0,0,0,0,0,0
WBGene00167788,0,0,0,0,0,0
WBGene00167789,0,0,0,0,0,0
WBGene00167790,0,0,0,0,0,0
WBGene00167791,0,0,0,0,0,0
WBGene00167792,0,0,0,0,0,0
WBGene00167793,0,0,0,0,0,0
WBGene00167794,0,0,0,0,0,0
WBGene00167795,0,0,0,0,0,0
WBGene00167796,0,0,0,0,0,0
WBGene00167797,0,0,0,0,0,0
WBGene00167799,0,0,0,0,0,0
WBGene00167800,0,0,0,0,0,0
WBGene00167801,0,0,0,0,0,0
WBGene00167802,0,0,0,0,0,0
WBGene00167803,0,0,0,0,0,0
WBGene00167804,0,0,0,0,0,0
WBGene00167805,0,0,0,0,1,0
WBGene00167806,0,0,0,0,0,0
WBGene00167807,0,0,0,0,0,0
WBGene00167808,0,0,0,0,0,0
WBGene00167809,0,0,0,0,0,0
WBGene00167810,0,0,0,0,0,0
WBGene00167811,0,0,0,0,0,0
WBGene00167812,0,0,0,0,0,0
WBGene00167813,0,0,0,0,0,0
WBGene00167814,0,0,0,0,0,0
WBGene00167815,0,0,0,0,0,0
WBGene00167816,0,0,0,0,0,0
WBGene00167817,0,0,0,0,0,0
WBGene00167818,0,0,0,0,0,0
WBGene00167819,0,0,0,0,0,0
WBGene00167820,0,0,0,0,0,0
WBGene00167821,0,0,0,0,0,0
WBGene00167822,0,0,0,0,0,0
WBGene00167823,0,0,0,0,0,0
WBGene00167824,0,0,0,0,0,0
WBGene00167825,0,2,0,0,0,0
WBGene00167826,0,0,0,0,0,0
WBGene00167827,0,0,0,0,0,0
WBGene00167828,0,0,0,0,0,0
WBGene00167829,0,1,2,0,0,0
WBGene00167830,0,0,0,0,0,0
WBGene00167831,0,0,0,0,0,0
WBGene00167832,0,0,0,0,0,0
WBGene00167833,0,0,0,0,0,0
WBGene00167834,0,0,0,0,0,0
WBGene00167835,0,0,0,0,0,0
WBGene00167836,0,0,0,0,0,0
WBGene00167837,0,0,0,0,0,0
WBGene00167838,0,0,0,0,0,0
WBGene00167839,0,0,0,0,0,0
WBGene00167840,0,0,0,0,0,0
WBGene00167841,0,0,0,0,0,0
WBGene00167842,0,0,0,0,0,0
WBGene00167843,0,0,0,0,0,0
WBGene00167845,0,0,0,0,0,0
WBGene00167846,0,0,0,0,0,0
WBGene00167847,0,0,0,0,0,0
WBGene00167848,0,0,0,0,0,0
WBGene00167849,0,0,0,0,0,0
WBGene00167850,0,0,0,0,0,0
WBGene00167851,0,0,0,0,0,0
WBGene00167852,0,0,0,0,0,0
WBGene00167853,0,0,0,0,0,0
WBGene00167854,0,0,0,0,0,0
WBGene00167855,0,0,0,0,0,0
WBGene00167856,0,0,0,0,0,0
WBGene00167857,0,0,0,0,0,0
WBGene00167858,0,0,0,0,0,0
WBGene00167859,0,0,0,0,0,0
WBGene00167860,0,0,0,0,0,0
WBGene00167861,0,0,0,0,0,0
WBGene00167862,0,0,0,0,0,0
WBGene00167863,0,0,0,0,0,0
WBGene00167864,0,0,0,0,0,0
WBGene00167865,0,0,0,0,0,0
WBGene00167866,0,0,0,0,0,0
WBGene00167867,0,0,1,0,0,0
WBGene00167868,0,0,0,0,0,0
WBGene00167869,0,0,0,0,0,0
WBGene00167870,0,0,0,0,0,0
WBGene00167871,0,0,0,0,0,0
WBGene00167872,0,0,0,0,0,0
WBGene00167873,0,0,0,0,0,0
WBGene00167874,0,0,0,0,0,0
WBGene00167875,0,0,0,0,0,0
WBGene00167876,0,0,0,0,0,0
WBGene00167877,0,0,0,0,0,0
WBGene00167878,0,0,0,0,0,0
WBGene00167879,0,0,0,0,0,0
WBGene00167880,0,0,0,0,0,0
WBGene00167881,0,0,0,0,0,0
WBGene00167882,0,0,0,0,0,0
WBGene00167883,0,0,0,0,0,0
WBGene00167884,0,0,0,0,0,0
WBGene00167885,0,0,0,0,0,0
WBGene00167886,0,0,0,0,0,0
WBGene00167887,0,0,0,0,0,0
WBGene00167888,0,0,0,0,0,0
WBGene00167889,0,0,0,0,0,0
WBGene00167890,0,0,0,0,0,0
WBGene00167891,0,0,0,0,0,0
WBGene00167892,0,0,0,0,0,0
WBGene00167893,0,0,0,0,0,0
WBGene00167894,0,0,0,0,0,0
WBGene00167895,0,0,0,0,0,0
WBGene00167896,0,0,0,0,0,0
WBGene00167897,0,0,0,0,0,0
WBGene00167898,0,0,0,0,0,0
WBGene00167899,0,0,0,0,0,0
WBGene00167900,0,0,0,0,0,0
WBGene00167901,0,0,0,0,0,0
WBGene00167902,0,0,0,0,0,0
WBGene00167903,0,0,0,0,0,0
WBGene00167904,0,0,0,0,0,0
WBGene00167905,0,0,0,0,0,0
WBGene00167906,0,0,0,0,0,0
WBGene00167907,0,0,0,0,0,0
WBGene00167908,0,0,0,0,0,0
WBGene00167909,0,0,0,0,0,0
WBGene00167910,0,0,0,0,0,0
WBGene00167911,0,0,0,0,0,0
WBGene00167912,0,0,0,0,0,0
WBGene00167913,0,0,0,0,0,0
WBGene00167914,0,0,0,0,0,1
WBGene00167915,0,0,0,0,0,0
WBGene00167916,0,0,0,0,0,0
WBGene00167917,0,0,0,0,0,0
WBGene00167918,0,0,0,0,0,0
WBGene00167919,0,0,0,0,0,0
WBGene00167920,0,0,0,0,0,0
WBGene00167921,0,0,0,0,0,0
WBGene00167922,0,0,0,0,0,0
WBGene00167923,0,0,0,0,0,0
WBGene00167924,0,0,0,0,0,0
WBGene00167925,0,0,0,0,0,0
WBGene00167926,0,0,0,0,0,0
WBGene00167927,0,0,0,0,0,0
WBGene00167928,0,0,0,0,0,0
WBGene00167929,0,0,0,0,0,0
WBGene00167930,0,0,0,0,0,0
WBGene00167931,0,0,0,0,0,0
WBGene00167932,0,0,0,0,0,0
WBGene00167933,0,0,0,0,0,0
WBGene00167934,0,0,0,0,0,0
WBGene00167935,0,0,0,0,0,0
WBGene00167936,0,0,0,0,0,0
WBGene00167937,0,0,0,0,0,0
WBGene00167938,0,0,0,0,0,0
WBGene00167939,0,0,0,0,0,0
WBGene00167940,0,0,0,0,0,0
WBGene00167941,0,0,0,0,0,0
WBGene00167942,0,0,0,0,0,0
WBGene00167943,0,0,0,0,0,0
WBGene00167944,0,0,0,0,0,0
WBGene00167945,0,0,0,0,0,0
WBGene00167946,0,0,0,0,0,0
WBGene00167947,0,0,0,0,0,0
WBGene00167948,0,0,0,0,0,0
WBGene00167949,0,0,0,1,0,0
WBGene00167950,0,0,0,0,0,0
WBGene00167951,0,0,0,0,0,0
WBGene00167952,0,0,0,0,0,0
WBGene00167953,0,0,0,0,0,0
WBGene00167954,0,0,0,0,0,0
WBGene00167955,0,0,0,0,0,0
WBGene00167956,0,0,0,0,0,0
WBGene00167957,0,0,0,0,0,0
WBGene00167958,0,0,0,0,0,0
WBGene00167959,0,0,0,0,0,0
WBGene00167960,0,0,0,0,0,0
WBGene00167961,0,0,0,0,0,0
WBGene00167962,0,0,0,0,0,0
WBGene00167963,0,0,0,0,0,0
WBGene00167964,0,0,0,0,0,0
WBGene00167965,0,0,0,0,0,0
WBGene00167966,0,0,0,0,0,0
WBGene00167967,0,0,0,0,0,0
WBGene00167968,0,0,0,0,0,0
WBGene00167969,0,0,0,0,0,0
WBGene00167970,0,0,0,0,0,0
WBGene00167971,0,0,0,0,0,0
WBGene00167972,0,0,0,0,0,0
WBGene00167973,0,0,0,0,0,0
WBGene00167974,0,0,0,0,0,0
WBGene00167975,0,0,0,0,0,0
WBGene00167976,0,0,0,0,0,0
WBGene00167977,0,0,0,0,0,0
WBGene00167978,0,0,0,0,0,0
WBGene00167979,0,0,0,0,0,0
WBGene00167980,0,0,0,0,0,0
WBGene00167981,0,0,0,0,0,0
WBGene00167982,0,0,0,0,0,0
WBGene00167983,0,0,0,0,0,0
WBGene00167984,0,0,0,0,0,0
WBGene00167985,0,0,0,0,0,0
WBGene00167986,0,0,0,0,0,0
WBGene00167987,0,0,0,0,0,0
WBGene00167988,0,0,0,0,0,0
WBGene00167989,0,0,0,0,0,0
WBGene00167990,0,0,0,0,0,0
WBGene00167991,0,0,0,0,0,0
WBGene00167992,0,0,0,0,0,0
WBGene00167993,0,0,0,0,0,0
WBGene00167994,0,0,1,0,0,0
WBGene00167995,0,0,0,0,0,0
WBGene00167996,0,0,0,0,0,0
WBGene00167997,0,0,0,0,0,0
WBGene00167998,0,0,0,0,0,0
WBGene00167999,0,0,0,0,0,0
WBGene00168000,0,0,0,0,0,0
WBGene00168001,0,0,0,0,0,0
WBGene00168002,0,0,0,0,0,0
WBGene00168003,0,0,0,0,0,0
WBGene00168004,0,0,0,0,0,0
WBGene00168005,0,0,0,0,0,0
WBGene00168006,0,0,0,0,0,0
WBGene00168007,0,0,0,0,0,0
WBGene00168008,1,0,0,0,0,0
WBGene00168009,0,0,0,0,0,0
WBGene00168010,0,0,0,0,0,0
WBGene00168011,0,0,0,0,0,0
WBGene00168012,0,0,0,0,0,0
WBGene00168013,0,0,0,0,0,0
WBGene00168014,0,0,0,0,0,0
WBGene00168015,0,0,0,0,0,0
WBGene00168016,0,0,0,0,0,0
WBGene00168017,0,0,0,0,0,0
WBGene00168018,0,0,0,0,0,0
WBGene00168019,0,0,0,0,0,0
WBGene00168020,0,0,0,0,0,0
WBGene00168021,0,0,0,0,0,0
WBGene00168022,0,0,0,0,0,0
WBGene00168023,0,0,0,0,0,0
WBGene00168024,0,0,1,0,0,0
WBGene00168025,0,0,0,0,0,0
WBGene00168026,0,0,0,0,0,0
WBGene00168027,0,0,0,0,0,0
WBGene00168028,0,0,0,0,0,0
WBGene00168029,0,0,0,0,0,0
WBGene00168030,0,0,0,0,0,0
WBGene00168031,0,0,0,0,0,0
WBGene00168032,0,0,0,0,0,0
WBGene00168033,0,0,0,0,0,0
WBGene00168034,0,0,0,0,0,0
WBGene00168035,0,0,1,0,0,0
WBGene00168036,0,0,0,0,0,0
WBGene00168037,0,0,0,0,0,0
WBGene00168038,0,0,0,0,0,0
WBGene00168039,0,0,0,0,0,0
WBGene00168040,0,0,0,0,0,0
WBGene00168041,0,0,0,0,0,0
WBGene00168042,0,0,0,0,0,0
WBGene00168043,0,0,0,0,0,0
WBGene00168044,0,0,0,0,0,0
WBGene00168045,0,0,0,0,0,0
WBGene00168046,0,0,0,0,0,0
WBGene00168047,0,0,0,0,0,0
WBGene00168048,0,0,0,0,0,0
WBGene00168049,1,0,0,0,0,0
WBGene00168050,0,0,0,0,0,0
WBGene00168051,0,0,0,0,0,0
WBGene00168052,0,0,0,0,0,0
WBGene00168053,0,0,0,0,0,0
WBGene00168054,0,0,0,0,0,0
WBGene00168055,0,0,0,0,0,0
WBGene00168056,0,0,0,0,0,0
WBGene00168057,0,0,0,0,0,0
WBGene00168058,0,0,0,0,0,0
WBGene00168059,0,0,0,0,1,0
WBGene00168060,0,0,0,0,0,0
WBGene00168061,0,0,0,0,0,0
WBGene00168062,0,0,0,0,0,0
WBGene00168063,0,0,0,0,0,0
WBGene00168064,0,0,0,0,0,0
WBGene00168065,0,0,0,0,0,0
WBGene00168066,0,0,0,0,0,0
WBGene00168067,0,0,0,0,0,0
WBGene00168068,0,0,0,0,0,0
WBGene00168069,0,0,0,0,0,0
WBGene00168070,0,0,0,0,0,0
WBGene00168071,0,0,0,0,0,0
WBGene00168072,0,0,0,0,0,0
WBGene00168073,0,0,0,0,0,0
WBGene00168074,0,0,0,0,0,0
WBGene00168075,0,0,0,0,0,0
WBGene00168076,0,0,0,0,0,0
WBGene00168077,0,0,0,0,0,0
WBGene00168078,0,0,0,0,0,0
WBGene00168079,0,0,0,0,0,0
WBGene00168080,0,0,0,0,0,0
WBGene00168081,0,0,0,0,0,0
WBGene00168082,0,0,0,0,0,0
WBGene00168083,0,0,0,0,0,0
WBGene00168084,0,0,0,0,0,0
WBGene00168085,0,0,0,0,0,0
WBGene00168086,0,0,0,0,0,0
WBGene00168087,0,0,0,0,0,0
WBGene00168088,0,0,0,0,0,0
WBGene00168089,0,0,0,0,0,0
WBGene00168090,0,0,0,0,0,0
WBGene00168091,0,0,0,0,0,0
WBGene00168092,0,0,0,0,0,0
WBGene00168093,0,0,0,0,1,0
WBGene00168094,0,0,0,0,0,0
WBGene00168095,0,0,0,0,0,0
WBGene00168096,0,0,0,0,0,0
WBGene00168097,0,0,0,0,0,0
WBGene00168098,0,0,0,0,0,0
WBGene00168099,0,0,0,0,0,0
WBGene00168100,0,0,0,0,0,0
WBGene00168101,0,0,0,0,0,0
WBGene00168102,0,0,0,0,0,0
WBGene00168103,0,0,0,0,0,0
WBGene00168104,0,0,0,0,0,0
WBGene00168105,0,0,0,0,0,0
WBGene00168106,0,0,0,0,0,0
WBGene00168107,0,0,0,0,0,0
WBGene00168108,0,0,0,0,0,0
WBGene00168109,0,0,0,0,0,0
WBGene00168110,0,0,0,0,0,0
WBGene00168111,0,0,0,0,0,0
WBGene00168112,0,0,0,0,0,0
WBGene00168113,0,0,0,0,0,0
WBGene00168114,0,0,0,0,0,0
WBGene00168115,0,0,0,0,0,0
WBGene00168116,0,0,0,0,0,0
WBGene00168117,0,0,0,0,0,0
WBGene00168118,0,0,0,0,0,0
WBGene00168119,0,0,0,0,0,0
