external_gene_name,Nr35.counts,Nr36.counts,Nr37.counts,Nr38.counts
C06G1.6,349,355,359,353
pdi-2,111247,108079,106425,113802
C10A4.10,68,82,82,73
C10A4.9,10,15,10,14
prx-1,1217,1117,1160,1115
C12D12.1,9955,9263,9519,10970
cgef-1,3102,2936,2621,3346
C14A11.9,413,452,378,481
hsp-43,5157,4767,4551,5044
C14H10.3,2560,2177,2143,2156
lgc-24,7,1,5,7
prx-3,746,699,575,746
C28G1.5,396,357,318,266
lgc-41,38,26,18,36
vit-2,1602708,1632494,1685627,2025815
C44C10.9,1108,831,810,889
C53B7.3,4402,4296,4416,4494
F07G6.10,53,50,27,58
sto-1,5080,4974,5359,5319
ttr-34,173,148,131,185
F09F9.5,4,6,3,7
F11C1.5,19515,17016,15534,17176
F11C1.7,49,39,51,53
F13C5.3,8,10,11,13
F14B8.5,2983,2453,2451,2640
F14F3.5,119,95,89,116
F16F9.3,40,30,13,24
F19C6.4,281,207,260,249
F21A10.1,30,16,33,34
ets-4,1501,1250,1464,1411
klp-13,120,121,98,137
F23D12.10,100,91,69,105
rgl-1,2721,2485,2460,2571
F41D9.2,471,378,431,452
F46C3.6,15,17,18,23
F46G10.1,1374,1191,1228,1335
F46G11.6,83,66,63,97
F49E2.2,2248,1887,2009,1967
F54F7.10,0,0,1,0
F54F7.9,15,11,15,8
F55A4.8,1567,1384,1426,1369
F55G7.4,0,1,1,1
F59C12.4,97,123,85,265
ttr-42,1175,1030,968,1061
H29C22.1,828,733,644,801
K02A6.4,0,0,2,0
syg-1,1321,1184,1151,1144
K03A1.2,8627,8166,7558,9230
K03A11.6,15,10,8,7
unc-1,937,646,845,734
K09A9.6,3056,2433,2063,2387
K10C2.8,115,118,101,133
K11E4.6,4,4,3,1
M153.5,29,25,31,19
odr-1,42,22,19,26
R03G5.5,300,238,266,304
twk-22,482,343,372,421
igcm-3,13672,12419,13111,14198
T04F8.7,249,173,228,221
T04F8.8,7914,7704,5977,6842
T08A9.11,661,564,638,670
T13C5.8,112,127,123,134
fbxa-179,29,26,19,25
oga-1,2284,1981,2022,2228
T21H8.1,4917,4354,4272,4577
T25B2.3,9,8,12,14
W01C8.5,3676,3349,3290,3410
Y34B4A.11,74,67,63,92
Y41G9A.5,235,227,214,212
Y62H9A.15,20,36,28,34
fbxa-222,7,3,3,3
ZC449.7,45,30,33,43
mgl-1,152,134,78,120
ZK662.6,5,4,1,3
tag-130,1830,1702,1815,2116
ZK813.7,7171,6608,5903,7043
C01A2.2,269,252,280,291
spe-9,18,16,19,29
C17D12.9,0,0,1,1
C17E4.1,62,73,86,117
C17E4.10,4355,3796,3236,3843
ppw-1,3754,3743,3625,4404
glb-8,213,189,135,201
acr-19,102,72,84,81
C31H5.6,828,812,747,667
C41D11.3,5490,5112,4594,5281
C41G7.9,2438,2380,2387,2500
D1081.12,1,0,0,0
D1081.6,383,350,341,367
D2005.7,839,788,841,859
unc-15,36825,34307,37335,36344
F13G3.3,169,138,114,122
F16A11.1,6819,6323,5694,6683
F17B5.9,0,0,1,0
F25H5.10,11,8,14,29
F33E2.10,17,10,13,12
F33H2.8,264,217,268,211
F36D1.12,3,2,2,2
F36F2.1,410,304,262,305
F40E3.7,102,86,78,105
F49B2.7,56,40,49,43
glb-18,197,166,193,152
abts-1,22850,18625,18664,20394
hrp-2,19540,19395,17270,20556
F59C6.16,9,11,8,46
K04G2.12,8,4,4,8
K07A12.8,17,11,6,13
K08C9.10,0,0,1,0
K08C9.9,0,1,0,0
M04C9.3,335,287,276,319
dyf-5,321,275,224,247
M04D5.3,170,156,166,180
T02G6.11,6,7,3,5
pde-1,270,229,268,243
T06G6.5,2,0,2,0
T23G11.11,20,28,12,57
W04A8.1,2392,2188,2197,2652
W09G3.6,5221,5370,5419,5644
Y105E8A.20,2065,1831,1751,1911
Y119C1B.10,668,525,622,721
nhr-62,1466,1172,1095,1304
Y6B3B.9,809,788,813,925
ZC334.13,2,1,0,2
ZK858.6,13015,12482,12653,14310
C05C10.8,0,1,0,0
C08H9.16,1122,1064,877,1127
C08H9.2,82108,77713,78300,85429
C56C10.7,6105,5810,5292,6273
F12A10.9,6,1,2,5
F12E12.12,5,2,2,3
F14D2.17,6,2,5,6
F26C11.3,10,0,0,0
K01A2.12,0,0,0,0
T11F1.9,2,0,4,1
Y46G5A.19,1508,1623,1489,1624
let-23,2433,2123,1839,2071
ZK355.8,0,0,1,0
pac-1,11747,10647,10243,12063
nca-2,250,166,171,200
nhr-6,111,92,86,91
beta-transducin,11035,10507,9832,10956
K08E5.5,3,3,3,9
R05D3.12,218,189,196,267
R08D7.4,3215,2999,2726,3228
T04A8.18,67,59,54,54
smc-3,17468,16249,14539,17661
Y71H2AM.6,841,688,761,811
Y75B8A.18,881,836,668,1086
C09G9.2,5393,4928,4588,5352
C09G9.3,6,5,16,6
vha-7,9532,9516,9025,10229
cka-1,3314,3123,3045,3314
C47E12.11,0,0,0,2
ndx-9,2757,2450,2449,2656
F23B2.7,0,4,0,6
hrg-4,75,105,72,71
F56H11.2,117,92,101,121
sms-1,10922,10479,9986,11104
R102.11,17,22,18,18
T05E11.2,84,72,71,103
permease,1287,1124,1275,1458
zim-1,4275,3950,3414,4160
T11G6.5,9328,9055,8050,9791
vps-26,4324,3994,3531,4010
Y11D7A.19,49,35,42,39
Y57G11B.97,0,2,8,1
Y57G11C.499,0,1,2,4
C08E8.11,0,1,0,1
nxf-1,8265,7860,8007,8883
fbxa-82,56,59,68,64
srw-85,164,144,121,112
C25F9.15,2,1,4,0
C56A3.4,1607,1471,1313,1574
secs-1,1518,1421,1448,1507
D1054.18,18,24,13,48
D1086.2,97,75,94,86
far-5,241,207,161,190
F17C11.17,2206,2083,2139,2146
F20G2.3,643,527,539,566
fipr-2,308,281,205,306
F38A6.5,115,98,117,125
hot-1,183,162,200,157
F47H4.2,30,36,52,40
F53F8.7,6,9,4,8
H12D21.10,489,387,367,399
K12D9.14,1,0,0,0
Monooxygenase,635,568,543,546
sma-1,55273,49924,45416,54907
Gamma-glutamyltranspeptidase,1900,1619,1635,1560
T05E12.10,14,7,12,12
T07C12.15,52,30,31,36
T08G5.3,74,50,64,73
T26H10.2,1,0,0,0
W06G6.11,1,0,0,0
W06G6.17,1,0,0,0
W07G4.8,0,1,0,0
Y2H9A.6,3,4,4,7
twk-46,174,160,155,179
Y43F8B.20,2,2,5,6
gck-3,5996,5598,5412,6460
ZC116.1,189,154,180,138
tsp-17,364,322,344,334
C03B1.6,4,6,3,4
C05A9.4,11,8,15,15
E02H4.7,256,172,181,217
chtl-1,7021,6513,6583,7809
F35C8.9,8,3,3,9
F41C6.4,85,60,63,73
K02H8.1,1755,1533,1506,1632
R07B1.13,13,15,11,9
R09A8.1,549,525,521,576
nhr-214,2,2,0,2
sup-12,1272,1101,1207,1257
nlp-40,3251,3131,3223,3409
Y74C9A.3,1070,974,900,1055
Y74C9A.4,7284,6731,6169,7348
sesn-1,1107,942,1062,984
Y74C9A.1,4,3,8,7
Y48G1C.4,1088,1012,1024,1152
Y48G1C.5,14,6,8,20
Y48G1C.6,132,109,109,133
Y48G1C.9,470,481,393,535
Y48G1C.1,1475,1459,1445,1554
Y48G1C.7,5740,5644,5306,6078
Y48G1C.8,4555,4871,4592,4831
rab-11.1,13262,13163,12675,14645
rpl-7,37061,37992,35405,38989
F53G12.9,11,3,7,7
F53G12.8,3,2,3,4
col-45,62,83,80,68
spe-8,1,2,1,0
F53G12.4,31,43,26,35
F53G12.3,14,10,9,7
F53G12.11,0,1,6,1
bli-3,1140,936,914,1041
ptr-11,414,351,450,381
carboxylesterases,616,588,659,558
F56C11.3,251,246,234,300
K10E9.1,2582,2463,2349,2636
atm-1,1504,1402,1431,1565
Y48G1BL.1,88,100,78,122
Y48G1BL.5,44,62,38,58
Y48G1BL.6,31,28,41,40
Y48G1BM.5,45,35,37,39
Y48G1BM.6,13,15,9,19
Y48G1BM.7,1,1,0,2
Y48G1BM.8,143,144,160,204
Y48G1BM.1,27,45,38,41
Y48G1BM.9,234,181,195,207
Y48G1BR.1,244,259,231,224
C53D5.3,22,14,29,34
C53D5.2,258,220,182,220
ztf-3,523,482,425,522
C53D5.1,2297,2189,1977,2518
gamma-glutamyltranspeptidase,907,887,1007,935
imb-3,28381,28791,28789,31533
xpo-2,9588,9895,10233,10911
Y48G1A.3,1293,1223,1141,1341
Y48G1A.2,1684,1675,1779,2053
Y48G1A.1,696,637,606,685
R119.1,794,683,609,766
rnp-8,5084,5244,5809,6388
dehydrogenase,9958,9043,8833,9504
pqn-59,36169,36761,35301,41122
taf-4,1708,1685,1672,1814
Y50C1A.1,1979,1681,1570,1727
Y50C1A.2,43,29,41,36
C07F11.2,23,23,25,27
W04C9.4,1082,1080,785,1244
W04C9.5,19,17,9,15
cutl-13,218,192,178,211
W04C9.6,41,39,36,38
W04C9.2,1142,1195,1147,1276
Y65B4BL.3,396,420,433,470
Y65B4BL.4,1321,1354,1451,1447
deps-1,8608,8578,8905,9483
Y65B4BL.7,365,357,330,406
acs-13,22307,22401,21801,25014
Y65B4BL.1,1976,1769,1962,1838
Y65B4BR.8,970,977,1014,1044
Y65B4BR.5,33926,35365,33001,36140
ptr-21,1660,1627,1608,1661
lpr-1,147,157,152,172
grl-16,1474,1102,1431,970
hum-7,682,641,663,678
F56A6.4,1383,1372,1289,1563
sago-2,138,120,134,158
Y65B4A.4,6,2,7,7
Y65B4A.6,4654,4614,4687,5074
Y65B4A.3,1366,1303,1109,1303
Y65B4A.2,273,233,204,203
Y65B4A.7,0,1,1,0
Y65B4A.1,2117,2147,1828,2372
Y65B4A.8,934,937,887,971
Y65B4A.9,3,2,5,3
Y18H1A.10,4,3,3,6
Y18H1A.1,5,7,6,4
Y18H1A.4,604,594,673,636
Y18H1A.2,850,866,724,887
Y18H1A.3,4004,3958,4057,4368
Y18H1A.7,1129,1148,1051,1254
pif-1,1715,1774,1834,1980
Y18H1A.9,251,186,222,195
Y18H1A.8,1,1,2,2
mps-3,7,0,5,2
ZC123.3,1871,1734,1694,1723
ZC123.1,1116,808,1006,899
Y95B8A.8,446,498,446,520
Y95B8A.7,4074,4065,4084,4275
Y95B8A.6,702,597,614,691
Y95B8A.11,420,419,422,476
gpa-16,1825,1830,1761,1964
Y95B8A.4,7,7,6,16
Y95B8A.2,132,62,89,76
nas-30,75,45,48,34
cutl-20,279,258,214,262
shc-1,915,785,812,881
F54A5.1,630,649,630,727
C54G6.3,2,4,3,2
C54G6.2,27,38,35,31
C54G6.1,1040,959,843,1001
Y34D9A.1,2000,1862,1793,2016
spd-1,2799,2960,2759,2941
Y34D9A.7,1426,1297,1180,1420
glrx-10,528,581,610,651
Y34D9A.2,75,58,86,55
vps-4,3601,3489,3549,3727
gsa-1,1030,931,970,982
R06A10.3,4,3,1,3
R06A10.1,41,41,38,42
R06A10.4,298,269,311,287
ZK993.2,7,8,3,7
ceh-45,106,91,89,113
Y48G8AL.9,668,732,649,799
Y48G8AL.10,1699,1670,1729,1878
Y48G8AL.7,378,426,352,445
haf-6,1043,981,976,1023
smg-2,4404,4609,4524,5000
Y48G8AL.5,3491,3501,3295,3706
Y48G8AL.1,4905,4829,4813,5593
Y48G8AL.12,2,4,1,0
Y48G8AL.13,2051,2083,2058,2529
grh-1,839,678,794,677
Y48G8AR.2,18,19,20,20
Y48G8AR.3,0,0,1,0
dapk-1,1861,1748,1745,1682
K12C11.3,23,7,17,24
smo-1,6844,7507,6495,8219
K12C11.1,3237,3153,3096,3271
Y92H12BL.2,0,0,0,0
Y92H12BL.4,615,552,541,587
Y92H12BM.1,353,320,283,368
Y92H12BR.7,1120,1073,1004,1227
set-29,517,497,448,608
Y92H12BR.2,1125,1156,1211,1265
Y92H12BR.4,9,8,14,11
Y92H12BR.8,1333,1272,1194,1439
F37F2.2,500,513,523,583
spe-15,308,304,297,309
gst-25,2,8,2,6
F47G6.3,1,0,2,1
F47G6.2,160,106,135,118
dyb-1,658,609,618,573
Y92H12A.5,3741,3615,3646,3926
Y92H12A.4,1616,1584,1457,1633
Y92H12A.3,710,627,593,670
Y92H12A.2,789,748,702,812
src-1,7816,7675,6939,7688
Y73E7A.3,275,261,238,254
cpx-1,191,123,141,123
Y73E7A.5,5,1,2,4
Y73E7A.2,833,726,655,816
Y73E7A.6,381,397,392,409
bre-4,520,511,557,556
Y73E7A.8,538,408,504,483
Y71G12B.18,3,5,3,5
pqn-88,94,84,70,86
Y71G12B.22,1,2,2,2
Y71G12B.17,44,32,42,33
Y71G12B.16,76,65,87,62
ubc-3,4651,4461,4243,4807
lsm-6,185,208,187,328
Y71G12B.13,1788,1710,1670,1857
atg-5,1815,1711,1496,1803
mppa-1,1177,1098,1141,1203
Y71G12B.10,1491,1543,1499,1738
Y71G12B.8,3870,3569,3534,3821
Y71G12B.25,932,757,1024,874
Y71G12B.26,53,59,49,55
Y71G12B.7,1,0,1,1
Y71G12B.6,1374,1216,1133,1258
Y71G12B.27,2,0,1,1
Y71G12B.5,12,12,11,22
Y71G12B.4,625,563,536,594
Y71G12B.3,0,0,1,1
Y71G12B.2,14,8,10,12
Y71G12B.1,4855,4980,5247,5839
Y71G12B.28,65,72,44,52
rpl-27,15118,16767,14381,16724
emr-1,1776,1781,1879,2186
nlp-12,35,33,23,50
tag-96,313,294,299,298
M01D7.1,18,21,13,12
scm-1,2273,2224,2434,2470
tub-2,2112,1951,2002,2089
Y71G12A.4,23,26,19,23
gap-3,1516,1406,1436,1569
Y20F4.2,325,344,334,330
Y20F4.4,1393,1284,1340,1449
Y20F4.5,386,358,349,403
Y37E3.1,1443,1453,1276,1565
rpb-10,387,506,423,651
Y37E3.4,1048,1140,1033,1238
Y37E3.8,36632,39334,39163,41960
phb-1,5341,5327,5502,5710
Y37E3.10,6999,6796,5776,7070
Y37E3.13,316,276,309,274
W03F11.1,7416,7976,7975,8624
gcy-17,10,10,4,10
dct-9,0,0,0,0
W03F11.4,0,3,1,4
lgc-51,3,7,3,4
abt-2,696,650,658,711
Y39G10AL.1,381,374,370,491
cdk-7,2093,1893,1929,2138
Y39G10AR.11,5958,5351,4860,5570
Y39G10AR.10,11108,9786,8679,10327
icp-1,6110,6071,5570,6624
Y39G10AR.9,2954,2913,2904,3188
Y39G10AR.21,915,869,906,971
Y39G10AR.20,615,628,626,749
Y39G10AR.8,7509,7478,7613,7895
Y39G10AR.7,1432,1322,1380,1564
mcm-4,11675,12044,11931,13224
Y39G10AR.15,390,464,334,420
Y39G10AR.16,2,4,2,5
zeel-1,464,405,387,420
nekl-1,38,38,32,38
Y39G10AR.17,326,351,333,303
zwl-1,4159,4108,4122,4323
F23C8.5,4733,4955,5059,5135
F23C8.6,2475,2398,2197,2520
F23C8.7,42,36,34,36
F23C8.8,8,14,13,14
F23C8.9,939,945,738,1028
ubxn-1,3327,3418,3330,3826
F23C8.3,93,104,71,95
F23C8.1,15,12,18,19
F23C8.11,3,1,1,3
F23C8.12,0,0,0,0
inx-19,203,163,200,135
Y74C10AL.2,944,987,952,1049
Y74C10AR.2,3,5,3,3
eif-3.I,4320,4190,4514,4566
Y23H5B.6,2676,2696,2431,2838
Y23H5B.5,2534,2518,2216,2474
Y23H5B.7,48,34,34,56
Y23H5B.4,37,45,36,39
Y23H5B.3,5,8,8,5
Y23H5B.8,288,274,231,244
Y23H5B.2,3,1,0,1
nspd-8,0,0,0,0
Y23H5B.1,67,72,62,79
C55C2.4,0,0,0,1
C55C2.3,2,2,2,3
ssp-19,0,0,0,1
scrt-1,19,13,11,25
aat-5,813,633,579,621
fbp-1,4990,4896,4669,4818
ctn-1,5825,5605,5676,5685
Y23H5A.4,8,12,8,8
Y23H5A.3,3321,3388,3195,3610
Y23H5A.2,301,294,296,371
crs-1,13283,12815,12153,13794
F40E3.3,3,2,0,2
F40E3.2,1529,1449,1296,1516
F40E3.5,88,80,64,72
F40E3.6,5,4,5,1
F32B5.6,3323,3187,3290,3327
F32B5.7,603,504,453,509
cpz-1,12921,13290,12840,15203
F32B5.4,1,1,0,2
F32B5.3,2,1,0,1
F32B5.2,65,54,65,69
phosphotransferase,962,971,964,1025
dnj-30,1231,1162,993,1359
Y71F9B.6,1433,1363,1344,1425
snr-7,677,747,635,1343
yop-1,6463,6979,6614,7508
Y71F9B.2,933,952,893,1003
Y71F9B.8,968,945,1059,1052
plk-2,4061,4150,3904,4467
Y71F9B.1,82,97,110,104
Y71F9B.13,695,676,732,722
Y71F9B.14,1,2,0,1
Y71F9B.15,0,0,0,0
W03D8.9,2,3,0,3
W03D8.10,0,0,0,1
W03D8.1,0,0,0,0
W03D8.8,13,11,13,14
W03D8.7,5,5,5,16
W03D8.2,13,9,10,12
itx-1,1555,1306,1406,1453
W03D8.5,0,1,1,0
W03D8.3,2,2,2,3
pop-1,3277,3042,2570,3163
W10C8.3,0,0,0,2
ccb-2,15,14,7,13
W10C8.4,82,82,77,53
W10C8.5,682,714,759,680
Y71F9AL.11,0,2,2,0
Y71F9AL.10,836,892,893,954
Y71F9AL.12,1368,1298,1186,1360
rpl-1,89877,95794,94662,98046
Y71F9AL.9,11241,11329,11277,12033
Y71F9AL.8,592,544,518,642
Y71F9AL.14,638,611,525,732
arx-1,4226,3994,3849,4242
Y71F9AL.7,262,263,237,277
Y71F9AL.6,60,65,56,69
Y71F9AL.17,15194,14406,14223,15468
gst-43,153,133,140,176
Y71F9AL.4,139,146,138,155
pme-1,3635,3668,3332,3831
Y71F9AL.2,16,12,10,20
Y71F9AL.1,1281,1172,1034,1216
trap-1,8424,8736,9191,9434
Y71F9AR.2,124,101,99,119
Y71F9AR.3,1282,1202,1207,1407
dnj-28,1258,1250,1141,1402
nduf-5,1592,1500,1568,1991
Y54E10BL.3,219,186,194,224
mek-2,2460,2136,2148,2220
col-48,324,211,277,198
Y54E10BL.1,3,3,4,2
Y54E10BR.4,1659,1651,1445,1795
Y54E10BR.3,2743,2716,2483,2793
Y54E10BR.5,3045,2837,2916,3033
rpb-7,1931,2038,1942,2165
Y54E10BR.2,1412,1430,1345,1611
mod-5,93,84,86,107
ztf-23,1454,1377,1227,1443
Y54E10BR.1,1504,1343,1398,1458
arx-7,704,721,738,813
C45E1.4,152,106,127,169
col-49,1,2,0,0
lpd-6,4537,4512,3743,4721
K09H9.2,1881,1806,1845,2016
K09H9.7,263,279,220,319
K09H9.1,35,25,27,37
Y54E10A.7,611,612,560,695
Y54E10A.6,2190,2004,2024,2086
Y54E10A.5,1356,1322,1275,1450
Y54E10A.10,1326,1327,1374,1528
Y54E10A.11,4143,3877,3627,4084
Y54E10A.12,1667,1589,1327,1713
Y54E10A.13,2,1,1,0
Y54E10A.17,681,658,621,655
rom-5,611,631,626,717
Y54E10A.3,2868,2671,2672,2826
cogc-1,4204,3869,3883,4352
Y54E10A.16,1640,1474,1530,1570
tyrosinase,28,14,21,21
nol-5,11277,10712,10149,11826
sulp-6,5,9,11,5
W01B11.6,307,284,277,324
W01B11.1,1,2,1,2
ace-2,586,480,451,517
Y44E3A.3,468,503,512,579
Y44E3A.4,1610,1628,1615,1675
Y44E3A.1,275,204,252,258
W05F2.7,94,70,70,83
W05F2.3,13602,14266,13692,16377
W05F2.6,2525,2532,2341,2851
fbxa-203,122,114,144,170
K03E5.1,30,15,25,20
sep-1,8854,8742,8371,9698
tag-63,1940,1890,1595,1958
Y47G6A.13,34,24,30,29
msh-6,8699,8369,7623,8982
Y47G6A.14,1475,1380,1342,1504
spg-7,4435,4111,3920,4344
Y47G6A.9,621,595,514,670
crn-1,4541,4577,4222,4811
Y47G6A.17,350,335,271,309
Y47G6A.18,2477,2289,2169,2296
pcaf-1,2656,2429,2259,2645
Y47G6A.5,964,962,1024,962
rnp-6,9321,8738,8292,9784
Y47G6A.4,1644,1709,1688,1806
Y47G6A.27,26,30,29,28
lpd-3,4018,3868,3533,4242
Y47G6A.3,9,11,11,17
Y47G6A.25,1565,1411,1315,1537
inx-22,3439,3193,3326,3754
inx-21,1335,1284,1081,1357
Y47G6A.26,1,2,1,2
cah-6,125,100,126,85
T28F2.2,204,210,212,222
T28F2.1,6,2,5,2
ccb-1,553,516,488,480
col-50,3,2,0,1
col-51,22,15,16,17
T28F2.7,241,190,184,207
smp-2,1423,1199,1231,1253
ftn-2,3187,3330,3270,3581
rab-8,3026,2938,2746,3250
D1037.1,2216,2106,1782,2234
msh-2,4714,4696,4282,4818
hus-1,680,570,603,632
F21A9.2,104,83,99,121
F21A9.1,15,11,14,21
lin-59,4453,4030,3762,4063
glh-4,2354,2305,2311,2526
T12F5.2,252,227,198,237
larp-5,20649,20023,18379,22427
T12F5.1,1172,1084,1005,1168
inx-13,2451,2344,2452,2472
inx-12,2534,2289,2174,2247
asic-1,21,24,21,18
ric-19,180,158,156,162
C32E8.5,2337,2196,1783,2489
C32E8.4,2,3,1,2
C32E8.3,1340,1266,1261,1496
ptr-2,10571,10162,10068,11459
C32E8.9,439,426,384,458
C32E8.1,1,0,4,2
C32E8.11,9239,8530,8227,9201
npp-11,5028,5157,5325,5686
unc-108,6385,5852,5742,6491
F53F10.3,1087,1083,1471,1287
F53F10.1,147,139,120,131
gsp-4,15,15,15,13
T03F1.6,1414,1298,1342,1442
T03F1.11,120,102,86,118
T03F1.7,533,548,595,564
hcp-4,7425,7454,6766,8102
pgk-1,5249,5142,5620,5871
coq-4,402,398,339,397
clec-53,133,154,121,143
T03F1.1,2541,2496,2405,2686
C50F2.3,5744,5290,4697,5670
C50F2.2,3294,3352,2817,3575
abf-2,34,36,40,38
abf-1,10,11,3,5
C50F2.4,360,271,302,332
C50F2.1,18,9,13,15
C50F2.5,0,0,0,0
fkb-5,4476,4205,3829,4452
C50F2.7,58,40,59,51
C50F2.8,498,363,400,378
pbs-4,5236,4989,4733,5647
T20F5.3,518,423,369,473
T20F5.4,1412,1102,1269,1263
T20F5.5,33,21,36,32
T20F5.6,4912,4817,4627,5366
T20F5.7,1578,1589,1337,1578
T21E3.2,0,1,1,1
egg-4,1585,1519,1436,1766
lrp-2,9173,8374,7210,8683
F47B3.4,0,0,0,0
F47B3.5,0,0,0,0
F47B3.3,48,38,47,43
F47B3.6,0,0,0,0
F47B3.7,2,5,1,2
F47B3.2,1,1,1,2
F47B3.1,0,0,0,0
F28H1.5,0,0,0,1
ars-2,13122,12562,12602,14119
cpn-3,2838,2699,2874,3246
F28H1.1,1246,1135,1100,1353
F55C7.2,2,3,1,4
clec-89,4,8,8,8
C24G7.4,228,227,187,202
C24G7.2,6,4,4,5
C24G7.1,20,8,16,13
cyb-2.2,4513,4104,4265,4719
H31G24.3,318,293,262,291
H31G24.1,2,1,3,1
E01A2.4,4117,3989,3249,4367
E01A2.2,20135,18936,16947,19647
E01A2.5,485,456,411,486
E01A2.6,5844,5539,5131,5971
E01A2.7,268,265,202,242
E01A2.8,3,5,1,4
R12E2.15,48,43,20,38
R12E2.14,71,48,51,41
R12E2.6,0,0,0,1
R12E2.7,106,57,95,62
R12E2.8,37,31,28,35
inx-15,1089,946,945,1001
inx-16,1259,1020,1034,1024
egg-5,1607,1557,1415,1976
R12E2.11,2388,2249,2194,2511
R12E2.12,717,704,658,784
rpn-8,6411,5898,5222,6418
R12E2.13,1713,1715,1713,1949
R12E2.2,7497,7107,6683,7660
R12E2.1,1560,1385,1264,1685
cas-2,2215,2117,1868,2119
C18E3.5,1054,976,927,1013
C18E3.4,4,6,1,7
C18E3.3,854,747,670,829
hop-1,819,802,784,960
C18E3.2,3623,3279,3305,3653
C18E3.1,21,18,29,23
C43E11.5,5,3,7,11
ndx-7,857,731,790,883
exoc-7,2153,2062,1989,2182
tufm-2,1940,1805,1622,1959
C43E11.11,2851,2609,2476,2824
met-1,18668,17096,14904,18267
mus-81,2511,2163,1764,2364
C43E11.9,595,571,627,719
cdc-6,3240,3058,2850,3213
cogc-5,4800,4627,4029,4835
Y47D9A.4,0,0,0,0
Y47D9A.3,0,1,1,0
Y47D9A.5,0,1,0,0
scpl-3,1992,1564,1733,1848
Y47D9A.1,5773,5276,5466,5936
anc-1,2734,2337,2004,2305
acr-6,3,5,5,0
ZK973.4,0,1,0,0
ZK973.8,18,17,27,27
phosphatase,8630,7939,7394,8633
ZK973.9,1685,1758,1627,1940
lpd-5,1660,1599,1611,1759
ZK973.2,4318,4278,3833,4500
thioredoxin,11350,11060,10451,12100
ZK973.1,7742,7129,6407,7855
dhc-1,31285,29484,28786,35389
T21E12.3,0,1,0,0
T21E12.2,63,66,64,57
T21E12.5,2,3,2,1
C11D9.1,178,130,145,134
C41D11.4,1031,1036,975,1087
eif-3.H,3688,3548,3550,3843
cps-6,935,832,874,973
C41D11.9,352,346,367,463
C41D11.5,1930,1927,1811,2020
C41D11.7,1804,1654,1479,1792
C41D11.1,267,267,209,268
C41D11.6,76,92,93,101
T01A4.3,107,89,100,95
T01A4.2,423,370,374,402
Y119C1B.4,1321,1215,1291,1469
Y119C1B.5,1534,1457,1340,1465
Y119C1B.6,21,5,7,8
tag-332,12941,11844,10410,12946
Y119C1B.9,298,235,276,284
Y119C1B.3,10,12,10,14
Y119C1B.1,2,1,3,1
D1007.15,760,683,698,715
pqn-24,819,772,608,779
ceh-17,26,24,16,29
col-52,0,2,0,2
D1007.3,25,9,20,14
D1007.4,323,309,295,371
rps-10,18056,19449,20535,20453
rpl-24.1,16603,17757,16910,19473
D1007.9,2,2,3,2
nrd-1,6527,6163,5595,6457
D1007.16,2302,2150,1741,2325
D1007.8,614,587,522,617
C44E4.5,2268,2106,1852,2184
C44E4.1,30128,27396,24659,30991
C44E4.7,3553,3187,2713,3438
C44E4.2,715,649,540,730
C44E4.4,8491,8525,7385,8512
acbp-1,1119,1202,1157,1520
Y119C1A.1,1969,1822,1651,1970
B0041.3,186,178,175,183
rpl-4,41597,44898,45290,45369
B0041.8,2958,2799,2550,3065
B0041.5,2220,2052,1916,2259
B0041.1,0,0,4,0
T04D1.2,76,73,56,58
tag-192,18670,16969,14782,17969
W09C3.4,939,788,786,963
W09C3.3,7,8,8,5
gsp-3,0,5,2,1
W09C3.2,0,0,0,0
W09C3.7,386,372,370,422
W09C3.8,2,0,1,0
W09C3.1,0,0,0,2
C10H11.7,0,2,1,3
ugt-27,6,6,3,9
ugt-28,367,319,302,309
ugt-25,510,458,422,520
C10H11.8,1373,1256,1195,1363
let-502,11644,10762,9523,11256
viln-1,4152,3658,3254,3876
kca-1,2616,2565,2267,2624
M04F3.3,39,40,28,30
M04F3.2,136,137,112,144
rpa-2,6522,6826,6584,7720
M04F3.4,405,429,455,518
M04F3.5,3279,3114,3044,3488
zig-7,3501,3783,2234,9459
gnrr-1,15,19,17,15
F54D7.2,3520,3358,3466,3599
F57C9.6,32,25,20,22
F57C9.7,670,606,567,719
htp-3,4247,4089,3925,4435
F57C9.3,50,46,51,65
clec-90,420,341,296,338
F57C9.1,1869,1789,1627,1884
C01F4.2,150,158,157,130
F25F8.1,604,541,482,549
glc-2,172,142,139,160
F21F3.4,403,375,291,409
unc-38,147,101,94,90
F21F3.3,4,6,2,6
F21F3.2,0,0,0,0
F21F3.1,1254,1072,922,988
F21F3.6,5854,5589,5827,6338
imb-1,7180,6840,6658,7364
F28B3.5,3615,3297,3037,3686
acl-11,616,598,609,627
F28B3.4,1102,992,895,1047
F28B3.1,6026,5611,5623,6341
F28B3.10,816,803,900,924
W03G9.3,54,68,68,72
W03G9.2,1237,1157,1117,1331
app-1,7816,7329,7410,7969
W03G9.5,1,1,1,1
snf-1,2432,2219,2172,2324
paf-1,3,2,0,0
W03G9.7,30,15,16,13
dyf-1,373,319,268,300
dom-3,888,776,737,907
F54C1.8,0,4,0,3
sst-20,1,3,2,2
F54C1.1,17,12,19,17
F54C1.6,20,17,14,18
pat-10,11357,9943,10258,11035
C46H11.6,0,0,1,2
