feature	249_1813_B	291_37_C	294_1781_A	299_1781_A	310_37_C	318_1813_B
WBGene00008129	1	8	8	4	1	7
WBGene00008130	158	217	168	153	163	145
WBGene00008131	1646	2787	1607	1722	1762	1865
WBGene00008132	2227	4192	2668	2739	3610	3018
WBGene00008133	632	621	590	626	586	593
WBGene00008134	355	676	409	428	465	541
WBGene00008135	0	0	0	0	0	0
WBGene00008136	3482	3294	3356	3295	3117	3521
WBGene00008137	23	46	30	39	40	74
WBGene00008138	27	19	7	20	9	4
WBGene00008139	183	263	197	254	198	363
WBGene00008140	2518	1741	2497	2250	2124	2497
WBGene00008141	0	1	3	1	0	16
WBGene00008142	5	4	4	2	3	12
WBGene00008143	1046	1145	892	1085	994	1067
WBGene00008144	6	3	5	7	7	4
WBGene00008145	1756	1148	1651	1540	1495	1421
WBGene00008146	1	0	0	0	0	0
WBGene00008147	1516	2288	1458	1423	1397	1741
WBGene00008148	1463	1648	1532	1584	1647	1978
WBGene00008149	5445	6089	5385	5373	5324	5630
WBGene00008150	10	1	3	2	9	2
WBGene00008151	1256	1671	1253	1423	1292	1229
WBGene00008152	1	30	9	11	15	9
WBGene00008153	0	1	5	7	2	18
WBGene00008154	4	3	1	10	3	77
WBGene00008155	1	4	2	1	1	7
WBGene00008156	6	1	0	0	3	0
WBGene00008157	76	53	53	64	22	95
WBGene00008158	2	1	0	2	1	4
WBGene00008159	0	0	0	0	0	0
WBGene00008160	0	0	0	0	0	0
WBGene00008161	0	0	0	0	0	0
WBGene00008162	0	1	0	4	0	0
WBGene00008163	2	1	0	2	0	0
WBGene00008164	910	1523	882	924	928	1043
WBGene00008165	2714	2560	2636	2581	2370	3096
WBGene00008166	5119	3374	4860	4695	4473	4534
WBGene00008167	877	2298	1126	1052	1489	743
WBGene00008168	13	11	6	9	5	11
WBGene00008169	588	836	574	601	620	765
WBGene00008170	853	1085	679	794	773	971
WBGene00008171	384	504	293	344	371	380
WBGene00008172	847	1057	824	920	888	900
WBGene00008173	958	1415	892	1017	1053	919
WBGene00008174	1365	1888	1423	1303	1355	1625
WBGene00008175	0	0	0	0	0	0
WBGene00008176	4	8	9	4	3	10
WBGene00008177	69	58	46	27	47	74
WBGene00008178	129	87	100	73	78	213
WBGene00008179	0	0	0	0	0	0
WBGene00008180	0	0	0	0	0	0
WBGene00008183	4887	2750	4730	4412	3891	4389
WBGene00008184	0	0	1	1	0	0
WBGene00008185	0	0	1	2	0	6
WBGene00008186	0	2	0	2	5	10
WBGene00008187	1	0	0	0	0	0
WBGene00008188	0	0	0	0	0	0
WBGene00008190	0	0	1	0	0	0
WBGene00008191	190	253	135	129	148	307
WBGene00008192	4	5	6	10	8	28
WBGene00008193	0	0	1	0	0	0
WBGene00008194	3032	3852	3302	2861	3722	1950
WBGene00008195	93	167	86	116	129	136
WBGene00008196	1494	2026	1233	1401	1280	1474
WBGene00008197	1413	1590	1295	1399	1357	1465
WBGene00008198	72	98	43	52	53	88
WBGene00008199	756	676	350	312	590	573
WBGene00008200	101	276	136	156	205	151
WBGene00008201	2	2	1	6	3	9
WBGene00008202	0	1	0	0	0	1
WBGene00008203	0	0	3	2	1	7
WBGene00008204	60	132	50	79	83	83
WBGene00008205	1628	4169	3529	3857	6585	7579
WBGene00008206	169	222	205	193	157	189
WBGene00008207	297	386	250	279	249	344
WBGene00008208	0	0	0	0	0	2
WBGene00008209	0	0	1	0	0	5
WBGene00008210	1404	1145	1250	1192	1022	1173
WBGene00008211	137	445	213	236	239	507
WBGene00008212	4	1	6	3	11	5
WBGene00008213	58	147	36	89	59	55
WBGene00008214	65	141	77	122	91	135
WBGene00008215	50	24	24	25	28	35
WBGene00008216	8	121	40	31	60	16
WBGene00008217	0	3	0	1	0	0
WBGene00008218	28099	21507	26001	25010	23994	30217
WBGene00008219	3375	3383	3116	3291	2993	3641
WBGene00008220	242	787	352	339	634	546
WBGene00008221	65	120	116	71	134	62
WBGene00008222	35	63	30	25	31	35
WBGene00008223	0	0	0	0	0	0
WBGene00008224	1805	3227	1632	2041	2051	2302
WBGene00008225	955	1155	886	920	846	861
WBGene00008226	18	55	5	23	26	22
WBGene00008227	43	91	46	35	58	49
WBGene00008228	160	140	93	102	166	158
WBGene00008229	478	1064	748	577	870	666
WBGene00008230	1	5	8	14	6	94
WBGene00008231	2	8	2	2	1	1
WBGene00008232	324	574	326	375	315	344
WBGene00008233	68	365	96	139	136	293
WBGene00008234	10	40	17	12	21	8
WBGene00008235	1	3	3	11	1	81
WBGene00008236	1270	1488	1244	1092	1129	1287
WBGene00008237	1862	2485	1855	1909	1870	2042
WBGene00008238	1777	2351	1642	1706	1693	1998
WBGene00008239	601	876	620	658	688	412
WBGene00008240	0	2	1	1	1	5
WBGene00008241	3	0	0	0	1	0
WBGene00008242	0	0	0	1	0	0
WBGene00008243	0	2	0	1	0	12
WBGene00008244	0	0	0	1	2	8
WBGene00008245	0	1	3	3	5	38
WBGene00008246	38	144	57	83	76	48
WBGene00008247	0	0	0	0	1	2
WBGene00008248	1	1	0	0	2	0
WBGene00008249	0	0	1	0	0	1
WBGene00008250	0	1	0	0	0	0
WBGene00008251	0	1	0	0	7	6
WBGene00008252	144	205	125	166	167	149
WBGene00008253	1	0	0	1	0	2
WBGene00008254	135	296	107	137	157	365
WBGene00008255	90	186	129	94	160	95
WBGene00008256	0	4	1	2	5	7
WBGene00008257	0	0	0	0	0	0
WBGene00008258	593	1391	907	764	1197	773
WBGene00008259	1	7	3	11	4	87
WBGene00008260	72	120	51	72	102	185
WBGene00008261	0	0	0	0	0	0
WBGene00008262	6161	10202	6054	6680	7161	8298
WBGene00008263	31	19	6	6	20	15
WBGene00008265	4	28	10	13	13	18
WBGene00008266	3816	3596	3602	3724	3465	3494
WBGene00008267	2	1	0	6	2	1
WBGene00008268	0	0	0	0	0	0
WBGene00008269	0	0	0	0	0	0
WBGene00008270	97	113	118	126	136	272
WBGene00008271	0	0	2	2	1	9
WBGene00008272	1	5	2	3	2	19
WBGene00008273	182	309	182	222	219	212
WBGene00008274	6164	2800	5942	5628	5309	5352
WBGene00008275	465	678	419	401	431	430
WBGene00008277	13	7	6	7	18	8
WBGene00008278	14	11	23	18	13	21
WBGene00008279	1	0	0	0	0	1
WBGene00008280	8	7	6	3	6	4
WBGene00008281	1334	1449	1150	1261	1290	1433
WBGene00008282	0	1	0	1	4	1
WBGene00008283	218	237	178	191	214	284
WBGene00008284	82	175	100	125	119	228
WBGene00008285	0	2	0	3	1	1
WBGene00008286	0	0	1	0	0	0
WBGene00008287	1	15	5	8	2	1
WBGene00008288	529	815	541	561	569	587
WBGene00008289	1	0	0	0	2	0
WBGene00008290	0	0	0	0	0	0
WBGene00008291	0	0	0	0	0	0
WBGene00008292	13	1	1	3	3	0
WBGene00008293	0	0	0	0	0	0
WBGene00008294	0	2	0	1	1	0
WBGene00008295	5	4	1	3	2	0
WBGene00008296	345	226	125	188	162	278
WBGene00008297	0	0	0	0	1	0
WBGene00008298	6	153	49	86	83	218
WBGene00008299	0	0	1	3	3	31
WBGene00008300	1	5	1	4	6	7
WBGene00008301	27	5	5	8	7	11
WBGene00008302	3	0	1	1	1	3
WBGene00008303	3	5	2	5	1	0
WBGene00008304	6	14	5	5	10	11
WBGene00008306	1	3	0	0	1	2
WBGene00008307	3	7	1	3	3	6
WBGene00008308	0	0	0	1	1	0
WBGene00008309	53	86	33	28	40	35
WBGene00008310	33	43	18	13	30	30
WBGene00008311	844	1391	997	1072	1060	1104
WBGene00008312	1	6	4	6	1	44
WBGene00008313	0	5	7	10	11	91
WBGene00008314	16	9	9	2	5	6
WBGene00008315	17	37	19	11	9	26
WBGene00008316	120	217	124	145	112	162
WBGene00008317	611	931	563	612	671	772
WBGene00008318	1178	1712	1131	1134	1224	1279
WBGene00008319	5	0	0	1	1	6
WBGene00008320	63	50	42	34	60	92
WBGene00008321	0	0	0	0	0	0
WBGene00008322	0	0	0	0	0	0
WBGene00008323	3	4	2	5	5	2
WBGene00008324	1	1	0	0	1	0
WBGene00008325	0	0	0	0	0	0
WBGene00008326	0	0	0	0	0	0
WBGene00008327	0	1	0	0	0	0
WBGene00008328	0	0	0	0	0	0
WBGene00008330	2037	2009	2044	2165	2003	2413
WBGene00008331	3333	3300	3205	3081	2949	3109
WBGene00008332	10	16	10	17	6	73
WBGene00008333	25	101	61	56	96	177
WBGene00008334	20	31	34	46	25	46
WBGene00008335	18	39	31	27	26	48
WBGene00008336	46	63	61	55	52	120
WBGene00008337	0	0	0	0	0	0
WBGene00008338	2897	3048	2768	3031	2759	3071
WBGene00008339	1173	1197	1135	1068	1010	1121
WBGene00008340	3	7	2	2	2	11
WBGene00008341	1017	1164	458	554	583	288
WBGene00008342	36	77	36	24	34	36
WBGene00008343	787	1157	717	811	802	828
WBGene00008344	1610	2119	1450	1418	1473	1485
WBGene00008345	1042	1209	984	1024	1004	1049
WBGene00008346	673	597	639	630	625	607
WBGene00008348	94	186	90	119	120	168
WBGene00008349	0	109	141	115	120	0
WBGene00008350	0	26	14	14	9	0
WBGene00008351	0	2	7	2	4	0
WBGene00008352	20	64	30	34	31	47
WBGene00008353	97	95	78	85	83	77
WBGene00008354	129	490	316	274	379	657
WBGene00008355	10	6	10	8	8	13
WBGene00008356	1	27	1	6	8	39
WBGene00008357	0	1	1	3	0	0
WBGene00008358	2	7	1	1	3	17
WBGene00008359	0	5	0	2	1	17
WBGene00008360	1	3	0	3	2	14
WBGene00008361	3039	2569	2938	2727	2626	2804
WBGene00008362	2327	2232	2156	2274	2206	2175
WBGene00008363	1282	1724	1278	1226	1282	1568
WBGene00008364	801	1070	808	761	871	896
WBGene00008365	46	35	55	48	45	83
WBGene00008366	182	622	167	262	210	216
WBGene00008367	0	0	0	0	0	0
WBGene00008368	55	66	50	38	61	34
WBGene00008369	50	39	22	24	41	41
WBGene00008370	327	559	278	341	347	420
WBGene00008371	1913	2922	1831	2034	1983	2216
WBGene00008372	77	84	74	70	91	98
WBGene00008373	0	0	1	0	2	1
WBGene00008374	0	0	1	1	0	1
WBGene00008375	333	453	236	228	346	283
WBGene00008376	24	0	5	0	8	3
WBGene00008377	5599	9841	5770	7283	6547	11022
WBGene00008378	8378	7050	8146	10655	9093	11360
WBGene00008379	738	838	733	741	748	835
WBGene00008380	2341	3037	2104	2334	2222	2609
WBGene00008381	0	0	1	2	4	10
WBGene00008382	1	3	1	1	1	4
WBGene00008383	0	5	2	2	2	47
WBGene00008384	186	198	203	186	154	199
WBGene00008385	16709	12805	15506	14565	14419	14927
WBGene00008386	7073	6921	6629	6812	6506	7594
WBGene00008387	1032	850	904	900	996	967
WBGene00008388	23	37	31	12	16	45
WBGene00008389	2	12	7	6	2	14
WBGene00008390	508	297	284	267	251	291
WBGene00008392	33	147	31	60	52	58
WBGene00008393	844	1138	1142	1783	1198	2600
WBGene00008394	768	1814	732	1061	906	1631
WBGene00008395	32	127	32	57	58	105
WBGene00008396	0	0	0	0	0	0
WBGene00008397	0	0	0	0	1	0
WBGene00008398	819	1307	794	792	784	915
WBGene00008399	2708	2238	2597	2513	2362	2578
WBGene00008400	3902	3293	3900	3600	3390	3739
WBGene00008401	61	28	19	34	33	21
WBGene00008402	1843	2083	1746	1735	1740	1833
WBGene00008403	100	139	117	101	95	124
WBGene00008404	729	521	684	719	720	637
WBGene00008405	2711	2914	2817	2613	2681	2919
WBGene00008407	8	28	25	10	17	9
WBGene00008408	704	1160	632	801	713	868
WBGene00008409	1295	1557	1292	1301	1245	1607
WBGene00008410	2599	2409	2412	2263	2361	2897
WBGene00008411	3230	4239	3312	3258	3327	3591
WBGene00008412	2093	3528	1926	2517	1855	2227
WBGene00008413	1908	2089	1823	1844	1746	1836
WBGene00008414	1724	3126	1684	1799	2011	2146
WBGene00008415	834	1147	702	639	750	1071
WBGene00008417	2520	2972	2488	2335	2371	2591
WBGene00008418	2365	2316	2325	2174	2152	2564
WBGene00008419	2546	2869	2346	2518	2497	2419
WBGene00008420	434	724	411	391	459	414
WBGene00008421	27	25	27	32	21	34
WBGene00008422	4444	2074	4562	3902	3802	3904
WBGene00008423	12	10	13	27	19	71
WBGene00008424	65	94	61	63	72	92
WBGene00008425	97	412	98	143	167	68
WBGene00008426	255	217	125	184	180	190
WBGene00008427	43	56	22	41	35	34
WBGene00008428	2357	2228	2321	2254	2278	2135
WBGene00008429	3096	2792	3074	2802	2612	2913
WBGene00008430	3647	2492	3288	3293	2986	3291
WBGene00008431	892	1141	858	834	874	981
WBGene00008432	30	86	57	24	42	73
WBGene00008433	3	3	2	3	1	35
WBGene00008434	0	2	1	1	1	4
WBGene00008435	108	358	171	229	261	492
WBGene00008436	219	1625	385	788	633	1048
WBGene00008438	41	97	46	61	63	95
WBGene00008439	173	272	129	166	121	166
WBGene00008440	2126	2730	1944	2104	2026	2334
WBGene00008441	1271	792	1338	1273	1176	1132
WBGene00008442	578	934	590	609	642	636
WBGene00008443	163	109	166	204	140	177
WBGene00008444	2308	1600	2066	1926	1917	1932
WBGene00008446	391	438	358	454	369	677
WBGene00008447	153	61	111	148	86	199
WBGene00008448	1	12	21	6	230	14
WBGene00008449	18	1	1	3	3	3
WBGene00008450	49	71	30	48	34	67
WBGene00008451	88	89	119	84	104	118
WBGene00008452	2222	2601	2281	2240	2286	2401
WBGene00008453	39	54	34	37	29	56
WBGene00008454	9	20	17	7	12	18
WBGene00008455	871	675	848	856	747	631
WBGene00008456	1113	1501	1124	1115	1188	1143
WBGene00008457	906	1416	941	859	903	1028
WBGene00008458	510	918	543	532	565	557
WBGene00008459	497	879	519	591	611	626
WBGene00008460	19	16	21	30	21	19
WBGene00008462	9	10	3	6	9	24
WBGene00008463	0	3	0	2	1	4
WBGene00008464	542	551	548	486	398	481
WBGene00008465	0	1	1	2	1	3
WBGene00008468	0	1	0	0	0	0
WBGene00008470	0	2	0	0	0	0
WBGene00008471	0	0	0	0	0	0
WBGene00008472	0	0	0	0	0	0
WBGene00008473	0	0	0	0	0	0
WBGene00008474	0	0	0	0	0	0
WBGene00008475	1	0	0	0	0	0
WBGene00008476	271	237	194	135	155	59
WBGene00008477	2	2	2	7	3	45
WBGene00008478	1	2	1	8	2	4
WBGene00008479	0	0	0	0	0	0
WBGene00008480	11022	11159	11589	11288	11173	11438
WBGene00008481	7	11	4	9	11	11
WBGene00008482	42	47	53	75	72	68
WBGene00008483	18	26	11	18	14	13
WBGene00008484	38	67	37	43	54	72
WBGene00008485	53	70	59	44	51	57
WBGene00008486	804	446	638	254	623	524
WBGene00008487	0	0	0	1	0	11
WBGene00008488	771	1196	707	749	804	896
WBGene00008489	0	4	3	0	0	5
WBGene00008490	17	7	10	5	8	40
WBGene00008491	1	4	6	3	3	2
WBGene00008492	37	73	46	47	44	98
WBGene00008493	26	58	28	21	33	24
WBGene00008494	168	217	166	151	102	86
WBGene00008495	5	30	37	25	38	52
WBGene00008496	46	5	1	1	11	1
WBGene00008497	0	0	2	3	0	12
WBGene00008498	133	252	135	138	152	158
WBGene00008499	1284	904	440	655	705	230
WBGene00008500	7	5	2	3	11	5
WBGene00008501	0	0	0	0	0	0
WBGene00008502	3126	2398	2957	2901	2626	2911
WBGene00008503	2968	1564	2959	2658	2756	2002
WBGene00008504	338	619	344	339	437	459
WBGene00008505	22896	19146	21932	23750	24398	23495
WBGene00008506	16328	9909	16231	16018	16352	14922
WBGene00008507	1	0	0	0	2	3
WBGene00008508	0	1	2	4	6	52
WBGene00008509	1	0	0	1	2	2
WBGene00008510	136	318	142	177	203	195
WBGene00008511	55	28	35	29	32	39
WBGene00008512	48	36	28	18	26	39
WBGene00008513	0	9	2	9	2	13
WBGene00008514	1722	1855	1664	1714	1694	1877
WBGene00008515	223	279	133	181	174	218
WBGene00008516	0	0	1	2	2	2
WBGene00008517	8	7	6	9	9	20
WBGene00008518	1	5	1	3	3	3
WBGene00008519	21	18	15	100	18	8
WBGene00008520	0	0	0	0	0	2
WBGene00008521	315	621	370	582	476	727
WBGene00008522	13	20	14	20	20	22
WBGene00008523	0	0	0	0	0	0
WBGene00008524	1	6	2	1	3	2
WBGene00008526	93	119	81	126	90	113
WBGene00008527	0	0	0	0	0	0
WBGene00008528	618	947	548	666	668	710
WBGene00008529	11	23	13	23	11	109
WBGene00008530	613	861	524	682	614	724
WBGene00008531	1347	1814	1338	1279	1287	1295
WBGene00008532	4631	4520	4850	4397	4584	5120
WBGene00008533	1627	1591	1515	1591	1486	1617
WBGene00008534	125	147	159	140	118	103
WBGene00008535	782	902	869	842	784	762
WBGene00008536	754	878	750	824	676	735
WBGene00008537	687	794	619	540	715	655
WBGene00008538	76	57	53	75	71	47
WBGene00008539	0	0	0	0	0	0
WBGene00008540	0	0	0	0	0	0
WBGene00008541	10	30	39	79	30	435
WBGene00008542	261	404	255	247	349	272
WBGene00008543	19	19	11	7	7	8
WBGene00008545	13	9	18	12	12	10
WBGene00008546	15267	7347	13322	12273	11814	13471
WBGene00008547	353	422	380	325	420	516
WBGene00008548	244	545	326	354	425	511
WBGene00008549	2450	904	1833	1812	1766	1839
WBGene00008550	0	18	3	4	8	7
WBGene00008551	2	1	1	0	1	5
WBGene00008552	0	0	0	0	0	0
WBGene00008553	9	129	26	28	60	31
WBGene00008554	1	30	6	21	19	57
WBGene00008555	2410	1444	2219	2172	2115	2203
WBGene00008556	1	0	0	0	0	6
WBGene00008557	2	1	2	0	0	1
WBGene00008558	7	7	2	9	9	16
WBGene00008559	9	2	2	7	5	4
WBGene00008560	247	818	365	473	723	769
WBGene00008561	1431	1575	1378	1287	1360	1535
WBGene00008563	281	136	57	82	108	64
WBGene00008564	1226	1665	1026	1512	1232	848
WBGene00008565	111	407	315	270	299	205
WBGene00008566	216	441	287	353	345	232
WBGene00008567	848	1165	733	868	943	627
WBGene00008568	13	27	8	16	17	9
WBGene00008569	1184	1463	1113	1090	1087	1177
WBGene00008570	19	37	22	30	33	57
WBGene00008571	157	204	149	163	139	211
WBGene00008572	459	1461	546	655	707	864
WBGene00008574	0	0	0	0	0	0
WBGene00008575	0	21	11	7	27	0
WBGene00008576	133	294	125	178	145	229
WBGene00008577	20	70	31	17	73	59
WBGene00008578	209	100	160	146	155	150
WBGene00008579	2	15	7	9	9	9
WBGene00008580	1806	1898	1571	1622	1676	2016
WBGene00008581	2	4	9	14	7	49
WBGene00008582	38	88	35	45	40	77
WBGene00008583	78	126	160	46	123	47
WBGene00008584	157	475	180	144	469	16
WBGene00008585	277	270	210	300	242	264
WBGene00008586	567	745	457	512	593	560
WBGene00008587	82	81	72	76	85	118
WBGene00008588	50	76	44	54	22	75
WBGene00008589	3	2	1	2	2	4
WBGene00008590	9	28	36	71	26	386
WBGene00008591	1	2	1	1	0	1
WBGene00008592	1	1	3	1	0	1
WBGene00008593	8	65	45	61	41	29
WBGene00008594	192	371	198	230	268	205
WBGene00008595	780	1428	908	974	1125	617
WBGene00008596	188	507	246	298	275	162
WBGene00008597	16	17	15	21	10	5
WBGene00008598	25	311	183	269	337	163
WBGene00008599	7	14	12	8	22	15
WBGene00008600	2	7	1	1	6	6
WBGene00008601	800	1006	624	789	791	775
WBGene00008602	270	126	48	119	43	47
WBGene00008603	114	350	107	179	118	386
WBGene00008604	3	16	3	6	7	12
WBGene00008605	95	14	7	9	9	14
WBGene00008606	290	210	206	229	240	255
WBGene00008607	862	1276	1031	854	1181	1267
WBGene00008609	0	1	3	1	2	3
WBGene00008610	24	53	21	61	28	94
WBGene00008611	3	7	4	7	3	0
WBGene00008612	9	13	0	7	3	0
WBGene00008613	9	2	1	4	3	2
WBGene00008615	0	3	0	0	1	1
WBGene00008616	0	0	0	0	0	2
WBGene00008617	0	1	0	0	0	0
WBGene00008618	0	0	0	0	0	0
WBGene00008619	0	0	0	0	0	0
WBGene00008620	2	3	2	1	0	3
WBGene00008621	72	1134	601	336	649	594
WBGene00008622	1023	419	645	656	726	547
WBGene00008623	1	0	4	0	4	9
WBGene00008624	1059	1549	1101	1169	1100	1193
WBGene00008625	0	3	0	1	2	0
WBGene00008626	20	41	21	21	32	17
WBGene00008627	0	0	0	0	0	0
WBGene00008628	3	13	4	13	12	27
WBGene00008629	344	370	414	573	326	109
WBGene00008630	2	0	0	2	1	0
WBGene00008631	2	7	5	0	9	4
WBGene00008632	11	9	4	3	12	6
WBGene00008633	3	1	3	0	2	1
WBGene00008634	34	234	131	170	242	128
WBGene00008635	2	0	0	0	0	0
WBGene00008636	1	0	0	0	0	0
WBGene00008637	0	0	0	0	0	0
WBGene00008638	0	0	0	0	0	0
WBGene00008639	1213	1425	1119	1173	1192	1238
WBGene00008640	2	1	1	4	0	2
WBGene00008641	1839	1824	1801	1836	1911	2100
WBGene00008642	3215	3042	3343	3122	3001	3930
WBGene00008643	2	0	0	0	0	0
WBGene00008644	94	102	51	39	57	27
WBGene00008645	5879	3943	5410	4966	4830	5250
WBGene00008646	1153	1260	1136	1113	1147	1087
WBGene00008647	0	2	1	0	0	1
WBGene00008648	1504	1601	1398	1404	1290	1584
WBGene00008649	0	2	2	1	6	14
WBGene00008650	1	1	0	0	3	12
WBGene00008651	15	8	13	16	14	47
WBGene00008652	128	45	72	80	143	147
WBGene00008654	780	2278	1187	964	1575	1363
WBGene00008655	26	9	6	8	9	12
WBGene00008656	4	44	13	31	30	26
WBGene00008657	1	0	1	2	0	8
WBGene00008658	1	0	0	4	1	14
WBGene00008659	5	9	5	15	14	126
WBGene00008660	0	4	6	7	5	75
WBGene00008661	1	4	1	1	0	32
WBGene00008662	1	4	0	3	0	7
WBGene00008663	2	1	0	1	0	5
WBGene00008664	1644	2212	1531	1571	1630	1639
WBGene00008665	1108	1347	1029	1102	1214	1159
WBGene00008666	356	204	171	195	195	320
WBGene00008667	561	751	514	513	521	618
WBGene00008668	1	0	0	1	4	2
WBGene00008669	1391	2128	1661	1849	1688	1117
WBGene00008670	2949	2763	2795	2828	2677	2719
WBGene00008671	0	1	2	0	2	0
WBGene00008672	0	0	0	0	0	0
WBGene00008673	0	0	3	0	0	0
WBGene00008675	2	1	0	2	0	1
WBGene00008676	0	0	0	0	0	0
WBGene00008677	439	1035	576	731	848	532
WBGene00008678	0	4	1	2	4	4
WBGene00008679	0	3	1	0	0	1
WBGene00008680	4	20	3	12	7	17
WBGene00008681	51	163	63	68	141	219
WBGene00008682	9409	6752	8982	8689	8090	9053
WBGene00008683	1538	2605	1480	1644	1739	1854
WBGene00008684	2529	2250	2338	2451	2363	2417
WBGene00008685	3660	2518	3620	3242	3019	3160
WBGene00008686	3729	3761	3320	3346	3354	3928
WBGene00008687	560	711	506	534	593	570
WBGene00008688	1776	2838	1871	2011	2111	1962
WBGene00008690	84	112	78	92	103	91
WBGene00008691	108	159	120	130	121	166
WBGene00008692	350	592	565	463	581	390
WBGene00008693	9	4	10	4	18	11
WBGene00008694	1608	2333	1890	2036	1965	2009
WBGene00008695	58	84	54	52	52	53
WBGene00008696	1	0	0	0	0	1
WBGene00008698	0	3	3	1	2	0
WBGene00008699	0	0	0	0	0	1
WBGene00008700	0	0	0	0	0	0
WBGene00008701	0	0	0	0	0	0
WBGene00008702	0	0	0	0	0	0
WBGene00008703	0	0	0	0	0	0
WBGene00008706	81	128	51	73	70	113
WBGene00008707	2649	3378	4409	7319	4783	14534
WBGene00008708	5	14	12	8	9	22
WBGene00008709	19	43	22	13	18	43
WBGene00008710	6754	4511	6565	6354	5939	6537
WBGene00008711	55	38	24	31	35	25
WBGene00008712	16	2	0	2	1	4
WBGene00008713	4	3	1	0	1	0
WBGene00008714	78	75	116	89	102	453
WBGene00008716	0	0	0	0	0	0
WBGene00008717	0	0	0	0	0	0
WBGene00008719	15	9	1	4	4	5
WBGene00008720	4472	3664	4063	4155	3883	4294
WBGene00008722	2336	2995	2265	2255	2254	2752
WBGene00008723	29	25	10	23	13	18
WBGene00008724	1	18	26	38	18	311
WBGene00008725	0	1	3	2	2	19
WBGene00008726	244	119	58	48	78	34
WBGene00008727	1	0	0	1	1	3
WBGene00008728	3	9	1	3	7	3
WBGene00008729	4997	4508	4575	4905	4670	5224
WBGene00008730	93	181	89	91	124	92
WBGene00008731	107	145	108	104	121	53
WBGene00008732	10	1	0	1	5	2
WBGene00008733	3546	2892	3366	3217	3199	3124
WBGene00008734	0	0	0	0	0	0
WBGene00008735	189	137	177	193	179	438
WBGene00008736	8	18	8	11	16	6
WBGene00008737	12	26	18	13	26	9
WBGene00008739	383	342	206	243	281	318
WBGene00008740	1666	1740	1420	1582	1558	2031
WBGene00008741	4040	5254	3779	4490	6494	2158
WBGene00008742	37	48	21	36	37	56
WBGene00008743	32	14	17	21	23	98
WBGene00008744	10	15	8	15	3	25
WBGene00008745	1161	1258	755	906	929	785
WBGene00008746	7	3	4	6	5	12
WBGene00008747	72	65	66	54	54	88
WBGene00008748	511	546	366	422	443	512
WBGene00008749	348	574	363	374	420	329
WBGene00008750	2116	2185	2125	1995	1980	2146
WBGene00008751	0	0	0	0	0	0
WBGene00008752	0	0	0	0	0	0
WBGene00008753	0	0	0	0	0	0
WBGene00008754	1	5	1	3	2	37
WBGene00008755	3	4	1	1	3	0
WBGene00008757	0	1	0	0	0	0
WBGene00008758	0	0	1	0	1	0
WBGene00008759	0	0	0	0	0	0
WBGene00008760	423	125	63	98	89	72
WBGene00008761	2	3	0	5	4	3
WBGene00008762	7	23	12	16	18	6
WBGene00008763	8	13	9	5	8	7
WBGene00008764	1361	2127	1297	1338	1482	1660
WBGene00008765	1958	2704	1944	1911	2042	2128
WBGene00008766	785	920	717	746	759	689
WBGene00008767	898	1152	858	944	879	990
WBGene00008768	1094	1838	1031	1202	1256	1344
WBGene00008769	790	1620	826	823	995	965
WBGene00008770	20	58	18	25	17	41
WBGene00008772	0	2	2	2	1	19
WBGene00008773	0	1	1	0	0	3
WBGene00008774	2047	2493	2145	2117	2057	2098
WBGene00008775	3856	4047	3724	3698	3519	3927
WBGene00008776	39	20	11	17	15	21
WBGene00008777	133	208	97	119	134	153
WBGene00008778	0	2	0	0	0	0
WBGene00008779	325	117	82	76	94	51
WBGene00008780	8684	7932	8054	8008	7719	9571
WBGene00008781	3211	3319	3289	3270	3050	3053
WBGene00008782	34	22	9	21	21	10
WBGene00008783	23	25	21	27	18	26
WBGene00008784	80	58	43	43	42	39
WBGene00008785	10	6	10	4	12	11
WBGene00008786	0	0	0	0	0	0
WBGene00008787	47	119	54	73	77	40
WBGene00008788	0	0	0	0	0	2
WBGene00008789	1837	1380	1763	1714	1470	1954
WBGene00008790	0	0	0	0	0	0
WBGene00008791	0	5	0	2	2	4
WBGene00008792	0	10	3	0	3	0
WBGene00008793	107	273	143	159	201	163
WBGene00008794	18	29	15	17	19	13
WBGene00008795	0	1	0	0	0	0
WBGene00008796	0	0	0	0	0	0
WBGene00008797	4	9	0	0	10	11
WBGene00008798	0	0	0	0	0	0
WBGene00008799	44	62	41	48	58	24
WBGene00008800	5855	5164	5583	5250	5175	5741
WBGene00008801	2	2	2	4	2	58
WBGene00008802	38	54	38	70	53	118
WBGene00008803	148	214	80	196	120	187
WBGene00008804	0	1	0	2	0	3
WBGene00008805	372	310	351	314	304	384
WBGene00008806	291	436	230	256	302	354
WBGene00008807	0	2	1	0	2	2
WBGene00008808	5	11	6	4	12	0
WBGene00008809	0	0	0	2	0	6
WBGene00008810	31	25	11	33	19	109
WBGene00008811	0	4	5	8	3	25
WBGene00008812	8	9	7	4	10	2
WBGene00008813	0	0	0	0	0	0
WBGene00008814	0	0	0	1	0	0
WBGene00008815	0	0	0	0	0	1
WBGene00008816	0	0	0	1	0	1
WBGene00008817	0	0	0	0	0	0
WBGene00008818	0	0	0	0	0	0
WBGene00008819	141	170	114	135	109	202
WBGene00008820	6	53	20	35	34	27
WBGene00008821	0	1	1	1	1	22
WBGene00008822	303	436	296	331	312	362
