wormbase_gene,N2.2,Eat2.2,Nhr62.2,Nhr62Eat2.2,N2.3,Eat2.3,Nhr62.3,Nhr62Eat2.3,N2.1,Eat2.1,Nhr62.1,Nhr62Eat2.1
WBGene00197744,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198373,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198627,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198810,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198910,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199950,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200498,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200691,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201720,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018485,131,190,127,159,119,173,229,194,113,206,204,106
WBGene00018487,22,12,6,19,16,9,20,9,5,40,8,12
WBGene00195667,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195803,0,0,1,0,3,1,1,0,0,1,0,1
WBGene00196996,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00201196,0,0,0,0,0,0,0,0,0,1,0,1
WBGene00201575,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202247,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00206358,5,25,12,12,11,13,10,10,15,27,21,9
WBGene00018489,53,49,26,58,23,13,62,55,19,25,52,26
WBGene00018490,3,2,0,1,2,0,0,3,3,0,1,0
WBGene00018508,3608,3997,3904,4321,3251,3292,4990,4321,3350,3815,5238,2625
WBGene00018513,523,508,548,544,455,411,673,473,456,412,565,297
WBGene00045082,4,2,3,4,0,4,4,2,0,2,2,1
WBGene00018510,180,209,182,205,158,148,275,246,144,144,190,121
WBGene00018511,996,1080,1056,1080,975,834,1412,998,793,693,1353,666
WBGene00009786,6,0,2,3,4,1,11,3,0,2,6,2
WBGene00199251,2,1,0,0,1,0,0,1,1,0,1,0
WBGene00199544,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200020,1,0,0,1,0,0,0,0,2,1,1,0
WBGene00009787,2444,465,2327,848,2713,369,3148,522,2201,127,5090,471
WBGene00009788,8,11,4,9,8,1,9,11,7,3,5,5
WBGene00009789,107,41,102,68,105,29,184,48,115,14,207,29
WBGene00195631,0,0,0,0,0,1,0,0,0,0,1,0
WBGene00014763,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198529,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198615,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199055,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199617,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199871,0,1,0,0,0,0,1,0,0,0,0,1
WBGene00200540,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200622,0,0,0,0,0,0,1,0,0,0,1,0
WBGene00200793,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200916,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201243,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201358,0,0,0,1,1,0,1,0,1,0,0,0
WBGene00201563,0,0,0,0,2,0,0,0,0,0,0,0
WBGene00201940,0,0,0,1,0,0,0,0,0,0,0,1
WBGene00201952,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009791,3,1,3,3,0,0,5,5,1,12,4,0
WBGene00195878,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196715,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197731,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197752,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00018493,3,34,2,5,2,26,0,14,7,28,2,10
WBGene00018501,0,1,0,2,0,0,0,0,1,2,0,0
WBGene00018502,1,50,0,7,8,34,2,19,14,50,2,17
WBGene00018503,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018504,0,1,0,1,0,0,1,0,2,2,0,0
WBGene00018505,5,27,3,12,7,12,2,16,10,26,7,10
WBGene00018506,1,0,2,3,0,3,2,4,1,0,0,3
WBGene00018507,2,9,3,7,6,5,7,2,8,5,8,3
WBGene00018494,1,6,0,2,2,10,3,3,3,5,5,4
WBGene00023287,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018495,2,8,2,5,0,9,1,4,3,12,0,2
WBGene00018496,1,12,1,6,0,7,5,6,6,9,6,3
WBGene00018498,19,77,23,31,19,40,26,35,36,56,25,16
WBGene00018499,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201295,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201641,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00202036,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00009796,896,1578,1019,1774,600,1005,919,1604,995,834,1429,767
WBGene00009797,286,716,401,599,256,471,433,589,383,625,490,377
WBGene00009798,151,202,219,273,195,186,283,200,205,184,282,149
WBGene00196282,1,1,0,0,1,1,0,0,0,0,0,0
WBGene00197101,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197173,0,0,0,0,1,0,0,0,0,0,0,0
WBGene00197569,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199176,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199649,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00199672,0,0,1,0,0,1,0,0,0,0,0,0
WBGene00200452,0,0,1,1,0,1,0,0,0,1,0,0
WBGene00201224,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202028,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018515,33,46,43,35,25,43,63,34,47,41,69,27
WBGene00202044,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018517,10,29,18,18,20,20,23,16,22,17,28,7
WBGene00045269,1,6,0,1,1,3,2,0,5,11,1,0
WBGene00195278,0,0,0,0,0,1,0,0,0,0,1,0
WBGene00195469,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195928,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023050,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023051,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198251,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018518,1000,1000,1034,1040,785,736,1262,1116,822,592,1371,552
WBGene00018519,39512,39155,41732,40181,38848,30266,52139,42444,42803,26653,61166,23735
WBGene00018520,1130,875,1228,1265,971,770,1526,1229,927,793,1509,665
WBGene00018521,9,20,9,15,9,11,12,12,9,18,21,8
WBGene00018522,3250,5074,3723,4738,3316,3759,4426,4662,4202,5160,6009,3043
WBGene00197668,0,0,1,0,0,0,1,0,1,1,0,1
WBGene00199358,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00200377,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023460,14,23,11,20,12,18,17,15,17,14,27,9
WBGene00195391,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197360,0,0,0,0,0,2,0,1,0,0,0,0
WBGene00197986,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199656,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200454,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014377,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198298,1,1,0,0,1,1,0,0,0,0,0,0
WBGene00199565,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200289,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009814,4,9,4,5,4,1,3,6,3,5,1,4
WBGene00009815,1,0,0,0,0,1,0,0,0,0,2,0
WBGene00009816,45,45,53,54,58,32,60,44,55,21,83,21
WBGene00009817,1,2,0,0,0,1,0,1,0,3,0,0
WBGene00009819,12,24,17,23,5,15,14,14,14,20,18,9
WBGene00009820,207,172,181,223,166,142,268,241,130,194,227,113
WBGene00018525,0,2,1,1,0,1,1,0,0,0,3,1
WBGene00018526,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018527,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00018528,11,65,20,22,20,45,23,43,27,73,37,24
WBGene00018529,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018530,1,0,0,1,0,0,0,1,1,0,0,1
WBGene00018531,103,522,121,202,186,323,177,274,223,411,225,189
WBGene00018532,843,984,877,765,837,734,1086,936,846,847,1358,545
WBGene00196014,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196591,0,1,0,0,0,0,0,1,0,0,0,0
WBGene00197174,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199246,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00199347,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200722,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00201837,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018533,1499,1345,1497,1494,1413,992,2177,1529,1368,802,2400,848
WBGene00018534,0,0,0,1,0,0,0,1,0,0,0,0
WBGene00018535,0,0,0,1,0,0,0,1,0,0,0,1
WBGene00018536,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00018537,5,6,1,5,1,2,4,5,2,6,2,2
WBGene00195265,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00009802,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009811,5,4,0,6,0,0,6,5,3,1,2,1
WBGene00044193,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00044194,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00197165,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198074,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00219324,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00009803,199,264,232,279,171,165,287,354,178,241,292,150
WBGene00009804,98,166,76,132,86,119,126,194,115,140,131,87
WBGene00009805,3,7,1,1,1,7,7,20,2,53,0,7
WBGene00009806,6,3,3,1,5,4,3,2,4,5,2,3
WBGene00009809,150,224,161,196,146,156,177,185,166,217,301,136
WBGene00044691,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018549,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018550,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018551,0,2,0,1,0,1,0,0,2,0,2,0
WBGene00197890,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00199534,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199882,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00199952,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200548,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201082,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202140,0,0,0,0,0,0,0,2,0,0,1,0
WBGene00199319,0,0,1,0,0,0,0,0,0,1,0,0
WBGene00018560,51,63,50,62,51,63,56,36,37,36,59,35
WBGene00018562,36,109,45,95,36,67,69,49,45,63,56,50
WBGene00018563,165,669,198,298,225,457,266,356,336,524,311,280
WBGene00018564,4779,5278,5110,5364,4219,4039,6339,5104,4446,5291,6118,3119
WBGene00206392,0,3,1,1,4,0,2,0,3,0,0,2
WBGene00018565,1,2,0,2,2,3,2,2,1,2,0,2
WBGene00196378,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196444,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198401,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199722,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200866,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201296,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202461,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018566,110,129,74,71,66,106,114,165,61,123,97,63
WBGene00018567,4,13,3,4,4,3,3,2,7,6,6,1
WBGene00018568,195,203,134,239,113,157,168,306,75,192,123,147
WBGene00195313,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195669,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023052,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023053,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023054,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018569,142,224,166,188,118,143,185,162,146,118,193,90
WBGene00202200,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018570,0,0,0,2,0,0,0,0,0,0,0,0
WBGene00018571,0,1,2,5,1,1,2,0,0,2,0,1
WBGene00196894,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00197607,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200591,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201308,0,1,0,0,0,0,1,1,0,0,0,0
WBGene00201582,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201996,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199388,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201145,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201491,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202164,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202296,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018576,170,196,149,170,138,165,189,142,170,181,291,106
WBGene00018578,423,358,438,443,370,257,520,400,333,216,599,222
WBGene00194641,135,217,163,190,134,149,215,177,178,198,267,101
WBGene00197120,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197858,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197977,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00198085,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00197032,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197035,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197618,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198066,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009825,261,273,241,373,214,159,335,319,238,192,468,180
WBGene00009826,1,3,2,1,0,1,3,3,1,2,1,1
WBGene00009828,0,0,0,0,0,0,0,2,0,0,0,0
WBGene00044975,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00018580,23,134,23,33,45,107,31,65,64,127,27,53
WBGene00196566,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023055,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009829,5045,5322,5349,4896,4406,3859,6721,5200,4476,3391,8205,2981
WBGene00009831,148,267,184,254,149,180,254,223,181,222,306,100
WBGene00009833,1,2,0,1,1,0,1,1,0,1,1,1
WBGene00043053,21,108,25,38,21,67,28,51,48,83,41,47
WBGene00009835,31,118,43,67,37,87,43,103,23,146,24,23
WBGene00018585,1589,1066,1695,1677,1505,1063,2244,1511,1470,1061,2082,929
WBGene00045088,1,0,0,1,0,0,1,2,0,1,1,0
WBGene00198044,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198719,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018582,26,54,24,37,24,43,36,39,36,58,40,27
WBGene00197712,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00199463,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00018587,41,50,36,79,36,42,57,53,47,59,62,43
WBGene00197780,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201092,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202146,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018589,71,115,91,90,68,101,134,90,80,65,137,39
WBGene00018593,155,198,197,193,168,143,243,201,176,117,276,101
WBGene00195725,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195179,4,7,4,12,2,6,3,7,0,31,3,6
WBGene00196397,2,1,0,1,0,1,1,0,0,0,0,0
WBGene00197167,0,0,1,0,0,0,1,0,0,0,0,0
WBGene00201106,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018596,0,1,0,1,1,1,0,0,1,0,0,1
WBGene00018598,546,495,650,530,528,411,803,474,504,343,974,311
WBGene00018599,725,773,841,765,794,676,1099,727,768,557,1548,498
WBGene00018600,8,23,9,17,8,12,13,12,11,11,10,9
WBGene00018601,6,12,4,0,5,4,9,5,1,37,3,5
WBGene00195494,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195858,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198487,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200731,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009843,24,44,34,43,28,42,35,35,31,37,63,19
WBGene00195418,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195614,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195818,0,0,0,0,0,0,1,0,0,1,0,0
WBGene00196383,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197327,0,0,0,0,1,0,0,1,0,0,0,0
WBGene00201632,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018602,3199,2241,2720,2121,2147,1620,5433,4353,2418,3580,4084,1253
WBGene00200753,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00201771,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196270,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197285,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199414,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018603,80,114,82,110,86,76,109,105,95,42,141,35
WBGene00018605,3578,3141,3464,3595,3107,2077,4487,3798,2933,1848,5055,1739
WBGene00018606,71,25,28,22,14,22,67,27,16,14,55,12
WBGene00018607,216,296,190,232,132,182,275,248,138,392,253,132
WBGene00018608,17,24,16,17,20,14,22,21,12,20,30,5
WBGene00023056,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018609,2791,2456,2959,3141,2584,1998,3639,2799,2778,2062,4094,1666
WBGene00018610,2927,2947,3319,3227,2687,2329,3989,3196,2896,2321,4718,1750
WBGene00018611,2772,2406,2964,3237,2788,2391,4011,3085,2831,2524,3600,1870
WBGene00044410,45,47,49,49,50,38,62,51,65,44,69,13
WBGene00009846,86,385,116,193,139,315,133,273,221,401,155,202
WBGene00009848,29,102,46,64,38,60,56,72,49,44,64,46
WBGene00009849,0,1,0,2,0,0,2,2,0,1,3,0
WBGene00009850,126,227,121,209,99,184,162,200,131,176,131,110
WBGene00009851,408,410,416,442,334,277,558,523,315,287,517,240
WBGene00018621,6,12,7,10,6,13,8,11,4,37,10,13
WBGene00018623,0,2,1,1,3,1,2,1,0,1,1,0
WBGene00018624,7,9,9,9,4,8,15,13,8,4,13,4
WBGene00197369,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018615,85,84,73,83,57,59,93,70,55,73,132,48
WBGene00018616,2,114,6,59,1,55,0,47,4,153,4,84
WBGene00018618,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00018619,0,11,1,9,0,8,0,6,0,7,0,9
WBGene00018620,1,6,0,0,0,2,2,0,1,5,2,2
WBGene00044195,0,1,0,0,1,0,0,1,1,0,0,0
WBGene00050962,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077446,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009863,2,0,1,1,1,0,4,0,1,1,2,0
WBGene00009864,11,18,12,20,23,12,16,8,34,12,28,10
WBGene00009865,104,227,112,193,84,195,123,145,136,250,145,122
WBGene00086555,9,6,4,4,4,4,5,3,4,6,7,2
WBGene00200301,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009871,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00009879,52,55,50,54,30,19,55,49,43,39,73,21
WBGene00009880,4323,3984,4541,4670,4320,3163,6152,4087,4376,3210,7420,2719
WBGene00009881,2807,3985,2956,3275,2933,2611,4039,3129,3069,2315,5303,1961
WBGene00009883,140,296,141,231,135,216,140,257,185,171,182,122
WBGene00009884,1509,5497,2297,3192,2472,3915,2775,3401,3392,5080,3418,2444
WBGene00009872,4,5,7,6,3,7,7,5,3,7,7,3
WBGene00009873,3,8,7,7,6,6,4,10,3,9,6,5
WBGene00009874,1,1,1,1,0,3,2,1,1,0,0,1
WBGene00009875,1,1,0,3,1,1,1,2,0,1,0,2
WBGene00009876,84,176,113,171,74,145,161,158,89,119,133,85
WBGene00009877,684,519,878,1058,379,331,572,1009,834,405,749,305
WBGene00009878,2704,2187,2849,2909,2801,1886,3698,2758,2554,1951,3719,1640
WBGene00044162,0,0,0,2,1,0,0,0,0,2,0,0
WBGene00044163,1,3,1,7,1,0,0,0,2,4,5,0
WBGene00184956,0,0,0,0,0,0,0,0,0,3,0,0
WBGene00195675,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195702,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200352,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009866,0,1,0,1,1,0,2,1,0,0,0,0
WBGene00009867,11,19,8,6,13,4,11,9,14,13,19,3
WBGene00009868,1,0,2,0,0,0,0,0,0,0,0,0
WBGene00009869,0,1,0,0,1,0,0,0,0,0,0,0
WBGene00044031,2,0,0,0,1,0,1,3,2,0,0,1
WBGene00014378,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014379,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014380,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014381,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045433,1071,1052,1268,1110,1233,897,1483,952,1352,1169,1911,723
WBGene00194698,0,0,0,0,0,0,0,2,0,0,0,0
WBGene00196718,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197613,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018626,2,3,5,2,2,8,3,2,7,5,9,4
WBGene00018627,6,5,4,9,9,3,8,7,5,4,15,1
WBGene00018628,0,1,0,0,0,0,1,0,1,0,1,0
WBGene00018630,2,1,0,7,0,0,7,1,2,17,0,0
WBGene00018631,18,57,28,36,24,41,29,35,30,45,50,33
WBGene00023057,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023058,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195879,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196117,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196308,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196918,0,1,0,1,0,0,0,1,0,0,1,0
WBGene00198416,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00198583,0,0,0,2,0,0,0,0,0,0,0,0
WBGene00199054,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199554,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199759,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200006,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018640,8,1,1,34,1,0,10,2,6,66,1,1
WBGene00200129,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00200547,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201472,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00201673,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201835,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202265,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202287,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018641,30,46,28,39,22,41,29,33,25,36,35,21
WBGene00195269,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195837,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00197568,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009889,13,20,22,36,25,15,39,21,16,24,38,20
WBGene00009893,32,120,43,47,40,97,46,84,57,108,63,56
WBGene00009894,0,1,0,0,0,2,0,0,0,1,0,0
WBGene00014766,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014767,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009903,20,59,44,37,16,31,47,39,20,22,28,18
WBGene00009904,16,12,13,20,21,8,22,21,24,27,12,8
WBGene00200629,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009900,2,1,2,0,2,3,4,6,2,2,1,1
WBGene00009901,11,36,4,20,11,30,17,25,9,36,23,9
WBGene00009885,253,298,292,296,249,191,344,297,319,211,475,156
WBGene00009886,862,1448,1006,1395,954,1177,1148,1119,1049,1198,1665,845
WBGene00009888,4055,5807,5036,6218,4240,4729,5839,5635,5547,6298,7420,3810
WBGene00197764,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198847,0,0,0,1,0,0,0,1,1,0,0,1
WBGene00199595,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014382,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018634,59,54,49,62,54,54,81,44,56,35,81,27
WBGene00197851,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199249,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023059,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023060,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023061,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018637,141,148,181,135,146,106,173,138,110,115,207,89
WBGene00018638,1716,1783,1869,1790,1711,1515,2490,1790,1585,1488,2619,1083
WBGene00018650,0,0,0,0,0,0,1,0,0,0,0,1
WBGene00018651,0,0,0,2,0,0,0,1,0,1,0,0
WBGene00018652,6,40,9,9,12,31,10,20,13,43,20,13
WBGene00023288,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00044477,4,3,11,6,3,8,6,8,6,3,2,1
WBGene00018644,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018645,40,261,43,179,12,199,31,250,44,126,53,163
WBGene00018647,33,25,19,32,20,25,41,35,23,18,35,22
WBGene00018648,15,10,6,9,3,5,10,6,8,8,11,7
WBGene00018649,2,0,0,1,0,0,0,0,0,1,0,0
WBGene00197727,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00198477,3,5,3,5,3,3,3,6,0,2,2,0
WBGene00198564,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018653,0,2,2,3,2,1,0,1,1,1,3,1
WBGene00018654,18,27,9,21,14,21,20,13,22,25,29,14
WBGene00018655,6,4,4,9,10,5,8,16,10,7,6,6
WBGene00044753,9,31,12,37,9,26,13,25,12,41,14,24
WBGene00196036,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196938,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009913,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009914,1,5,2,12,1,1,1,2,1,10,5,3
WBGene00045502,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00050894,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00050928,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00050965,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009907,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009908,7,34,8,8,10,21,10,5,11,64,16,12
WBGene00014768,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009909,1,0,2,1,1,0,0,0,0,2,4,0
WBGene00009915,3556,3339,3609,3453,3201,2463,4733,3576,3283,2465,5616,1903
WBGene00009916,10,39,14,20,15,32,14,16,14,30,24,14
WBGene00196642,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00196971,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197466,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197572,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197599,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197848,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198578,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199224,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00199771,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00200747,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00201359,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202020,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202289,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00044304,47,79,64,53,56,40,76,63,65,43,101,15
WBGene00195670,0,1,0,0,0,0,0,0,0,0,0,0
